term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,no,pl,pt,zh
445-05-11,pulse on time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-05-11,زمن نبضة التوصيل,"Impulszeit, f",pulse on time,tiempo de trabajo,pulssin kestoaika,"temps de travail, m",Tempo di funzionamento,オン時間,펄스 온 시간,pulstid,czas trwania stanu zadziałania (przekaźnika cyklicznego),tempo de trabalho,脉冲动作状态时间
445-05-12,pulse off time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-05-12,زمن نبضة الفصل,"Pausenzeit, f",pulse off time,tiempo de reposo,pulssin taukoaika,"temps de repos, m",tempo di riposo,オフ時間,펄스 오프 시간,pausetid,czas trwania stanu spoczynku (przekaźnika cyklicznego),tempo de repouso,脉冲释放状态时间
445-05-13,release time of an on-delay relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-05-13,زمن الانعتاق لمرحل تأخير التوصيل,"Rückfallzeit eines ansprechverzögerten Zeitrelais, f",release time of an on-delay relay,tiempo de desactivación de un relé temporizado a la puesta en tensión,vetohidastusreleen päästöaika,"temps de relâchement d'un relais temporisé à la mise sous tension, m",Tempo di rilascio di un relè ritardato all’inserzione,オンディレータイマの出力復帰遅れ時間,지연 계전기 해제 시간,utkoplingstid for relé med forseinking,czas powrotu przekaźnika z opóźnionym zadziałaniem,tempo de desarme de um relé temporizado à operação,动作延时继电器释放时间
445-05-14,operate time of an off-delay relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-05-14,زمن الاشتغال لمرحل تأخير الفصل,"Ansprechzeit eines rückfallverzögerten Zeitrelais, f",operate time of an off-delay relay,tiempo de funcionamiento de un relé temporizado al corte,päästöhidastusreleen vetoaika,"temps de fonctionnement d'un relais temporisé à la coupure, m",Tempo di funzionamento di un relè ritardato alla disinserzione,オフディレータイマの出力復帰遅れ時間,즉시 작동 계전기 작동 시간,koplingstid for relé med forseinking,czas zadziałania przekaźnika z opóźnionym powrotem,tempo de funcionamento de um relé temporizado à desoperação,释放延时继电器动作时间
445-05-15,setting time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-05-15,الضبط الزمني,"Einstellwert der Zeitverzögerung, m",setting time,valor de ajuste de la temporización,asetteluaika,"valeur de réglage de la temporisation, f",Tempo regolato,設定時間,정정 시간설정 시간,innstilt tid,nastawienie czasowe,valor de ajuste do tempo,整定时间
445-05-16,actual time value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-05-16,القيمة الزمنية الفعلية,"Istwert der Zeitverzögerung, m",actual time value,valor real de la temporización,asetteluajan todellinen arvo,"valeur réelle de la temporisation, f",Valore effettivo del tempo,動作時間,실제 시간값,faktisk tid,czas odmierzany rzeczywisty,valor real do tempo,实际时间值
445-05-17,setting time range,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-05-17,مدي الضبط الزمني,"Einstellzeitbereich, m",setting time range,margen de regulación de la temporización,asetteluaika-alue,"plage de réglage de la temporisation, f",Campo di regolazione del tempo,設定時間範囲,정정 시간 범위설정 시간 범위,instillingsområde for tidsintervall,zakres nastawczy czasu,gama de ajuste do tempo,整定时间范围
445-05-18,overshoot time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-05-18,زمن التخطّي,"Überschwingzeit, f",overshoot time,tiempo de exceso,ylitysaika,"temps de dépassement, m",Tempo di inerzia,オーバーシュート時間,오버슈트 시간,retardasjonstid,czas wybiegu,tempo de ultrapassagem,超调时间
445-06-01,influence quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-06-01,الكمية المؤثرة,"Einflussgröße, f",influence quantity,magnitud de influencia,vaikutussuure,"grandeur d'influence, f",Grandezza di influenza,影響要因,유도량,influerande storleik,wielkość wpływająca,grandeza de influência,影响量
445-06-02,effect of influence on specified time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-06-02,أثر الكمية المؤثرة على الزمن المحدد,"Einflusseffekt auf das festgelegte Zeitverhalten, m",effect of influence on specified time,efecto de influencia,vaikutuksen teho täsmäaikana,"effet d'influence, m",Effetto di influenza sul tempo specificato,指定時間に対する影響度,지정시간시 유도 영향,influerande effekt på spesifisert tid,oddziaływanie wielkości wpływającej na odmierzany czaszmienność odmierzanego czasu,efeito de influência na temporização,规定时间影响效应
