term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,sv,zh
731-01-29,spectral radiance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-29,الإشعاع الطيفي,"spektrale Strahldichte, f",spectral radiance,radiación espectral,spektrinen radianssi,"luminance (énergétique) spectrique, fdensité spectrale de luminance (énergétique), f",radianza spettrale,スペクトル放射輝度,스펙트럼 휘도,gęstość widmowa luminancji energetycznej gęstość widmowa luminancji  gęstość monochromatyczna luminancji energetycznej gęstość monochromatyczna luminancji,radiância espectraldensidade espectral de radiância,spektral radians,光谱亮度
731-01-30,spectral irradiance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-30,كثافة الإشعاع الساقط الطيفي,"spektrale Bestrahlungsstärke, f",spectral irradiance,irradiación espectral,spektrinen irradianssi,"éclairement (énergétique) spectrique, mdensité spectrale d'éclairement (énergétique), f",irradianza spettrale,スペクトル放射照度,스펙트럼 조도,gęstość widmowa natężenia napromienienia gęstość monochromatyczna natężenia napromienienia,irradiância espectraldensidade espectral de irradiância,spektral irradians,光谱辐照度
731-01-31,conservation of radiance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-31,حفظ الاشعاعِ,"Radianzgesetz, n",conservation of radianceconservation of brightness (deprecated)brightness theorem (deprecated),conservación de la luminosidad (obsoleto)conservación de la radiaciónteorema de luminosidad (obsoleto),radianssin säilyvyys,"conservation de la luminance, f",conservazione della radianzaconservazione della brillanza (da evitarsi)teorema della radianza (da evitarsi),放射輝度保存則,방사 휘도 보존,zasada zachowania luminancji energetycznej zasada zachowania luminancji,conservação da luminância,,亮度守恒
731-01-32,geometric optics,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-32,علم البصريات الهندسي,"geometrische Optik, fStrahloptik, f",geometric opticsray optics,óptica de rayosóptica geométrica,geometrinen optiikkasädeoptiikka,"optique géométrique, foptique des rayons, f",ottica geometrica,幾何光学,기하 광학광선 광학,optyka geometryczna optyka promieniowa,óptica geométrica,geometrisk optik,几何光学射线光学
731-01-33,physical optics,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-33,علم البصريات الفيزيائى موجة بصرية,"physikalische Optik, fWellenoptik, f",physical opticswave optics,óptica físicaóptica ondulatoria,fysikaalinen optiikkaaalto-optiikka,"optique physique, foptique ondulatoire, f",ottica fisicaottica ondulatoria,物理光学,물리 광학,optyka falowaoptyka fizyczna,óptica físicaóptima ondulatória,fysikalisk optik,物理光学波动光学
731-01-34,gaussian beam,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-34,حزمة اشعة غاوس,"Gaußscher Strahl, m",gaussian beam,haz gausiano,gaussinen säde,"faisceau gaussien, m",fascio gaussiano,ガウスビーム,가우스 빔,wiązka gaussowska,feixe gaussiano,gausstråle,高斯光束
731-01-35,beamwidth,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-35,عرض شعاع,"Strahldurchmesser, mStrahlweite, f",beamwidthbeam diameter,ancho del hazdiámetro del haz,sädekimpun halkaisija,"diamètre de faisceau, mlargeur de faisceau, f",diametro del fasciolarghezza del fascio,ビーム幅ビーム直径,빔폭빔 지름,"średnica wiązki, fszerokość wiązki, f",diâmetro (de um feixe),strålknippsbredd,光束直径波束宽度
731-01-36,beam divergence,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-36,تباعد الحزمة,"Strahldivergenz, fStreuwinkel, m",beam divergence,divergencia del haz,sädekimpun divergenssi,divergence (d'un faisceau) f,divergenza del fascio,ビーム拡がり,빔 발산,rozbieżność wiązki,divergência (de um feixe),strålknippsdivergens,束散
731-01-37,Lambert's cosine law,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-37,قانون لامبرت لجيب التمام,"Lambertsches Kosinus-Gesetz, nLambertsches Gesetz, n",Lambert's cosine lawcosine emission law,ley del coseno de Lambertley del coseno para la emisión,Lambertin lakiLambertin kosinilaki,"loi (du cosinus) de Lambert, f",legge del coseno di lambertlegge di emissione del coseno,ランベルトの余弦法則,람베르트의 코사인 법칙코사인 방출 법칙,prawo kosinusowe Lamberta,lei (do coseno)de Lambert,Lamberts (cosinus)lag,朗伯余弦定律余弦发射定律
731-01-38,Lambertian radiator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-38,مشع لامبرت    مصدر لامبرت,"Lambertscher Strahler, m",Lambertian radiatorLambertian source,fuente lambertianaradiador lambertiano,Lambertin lähde,"source lambertienne, f",radiatore lambertianosorgente lambertiana,ランベルト放射体,람베르트 복사기,źródło lambertowskie powierzchnia lambertowska,fonte lambertiana,Lambert-strålare,朗伯辐射体朗伯光源
731-01-39,Lambertian reflector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-39,عاكس لامبرت,"Lambertscher Reflektor, m",Lambertian reflector,reflector lambertiano,Lambertin heijastin,"réflecteur lambertien, m",riflettore lambertiano,ランベルト反射鏡,랑베르 반사기,odbłyśnik lambertowski,reflector lambertiano,Lambert-reflektor,朗伯反射器
731-01-40,collimation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-40,موازاة,"Kollimation, f",collimation,colimación,kollimointi,"collimation, f",collimazione,コリメーション,평행 시준,kolimacja,colimação,kollimering,准直平行校正
731-01-41,acousto-optic effect,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-41,تأثير صوتى بصرى,"akustooptischer Effekt, m",acousto-optic effect,efecto acústico-óptico,akustisoptinen ilmiö,"effet acousto-optique, m",effetto acusto-ottico,音響光学効果,음향 광학 효과,zjawisko akustooptyczne,efeito acusto-óptico,akustooptisk effekt,声光效应
731-01-42,electro-optic effect,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-42,تأثير كهرو بصرى,"elektrooptischer Effekt, m",electro-optic effect,efecto electro-óptico,sähköoptinen ilmiö,"effet électro-optique, m",effetto elettro-ottico,電気光学効果,전기광학 효과,zjawisko elektrooptyczne,efeito electro-óptico,elektrooptisk effekt,电光效应
