term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,zh
395-01-39,"quality factor, <for radiation protection purposes>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-39,,"Qualitätsfaktor,  m","quality factor, <for radiation protection purposes>","factor de calidad,  m","facteur de qualité, <en radioprotection> m","fattore di qualità,","線質係数, ＜放射線防護上の＞","선질 계수, <방사선 보호 목적>","współczynnik jakości,  m","fator de qualidade,","品质因数, <辐射防护>"
395-01-40,tissue equivalent material,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-40,,"gewebeäquivalentes Material, n",tissue equivalent material,"material equivalente al tejido, ftejido equivalente, m","substance équivalente au tissu, ftissu équivalent, m",materiale equivalente al tessuto,組織等価物質,조직 등가 물질,"materiał równoważny tkance, m",substância equivalente ao tecidotecido equivalente,组织等效材料
395-01-41,density thickness,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-41,,"flächenbezogene Masse, f",density thickness mass per unit area,"espesor másico por unidad de área, f","masse surfacique, f",spessore massicomassa per unità di superficie,面密度,면 밀도단위 면적 질량,"masa powierzchniowa, f",densidade superficial de massa,质量厚度单位面积质量
395-01-42,exposure rate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-42,,"Standard-Ionendosisleistung, f",exposure rate,"tasa de exposición, m","débit d'exposition, m",rateo di esposizione,照射線量率,조사 선량률피폭률,"moc dawki ekspozycyjnej, f",taxa de exposição,照射量率
395-01-43,exposure rate coefficient,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-43,,"Dosisleistungskonstante, f",exposure rate coefficient,"coeficiente de tasa de exposición, m","coefficient de débit d’exposition, m",coefficiente del rateo di esposizione,照射線量率定数,조사 선량률 계수,"współczynnik wydajności dawki ekspozycyjnej, m",coeficiente de taxa de exposição,照射量率系数
395-01-44,mean free path,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-44,,"mittlere freie Weglänge, f",mean free path,"recorrido libre medio, m","libre parcours moyen, m",cammino libero medio,平均自由行路,평균 자유 행정,"droga swobodna średnia, f",percurso livre médio,平均自由程
395-01-45,buildup factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-45,,"Aufbaufaktor, m",buildup factor,"factor de acumulación, m","facteur d’accumulation, m",fattore di accumulazione,ビルドアップ係数,축적 계수누적 계수,"czynnik przyrostu, mczynnik narastania, m",fator de acumulação,积累因数
395-01-46,conventionally true surface emission rate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-46,,"richtige Oberflächenemissionsrate, f",conventionally true surface emission rate,"tasa de emisión superficial convencional verdadera, f","taux d'émission surfacique conventionnellement vrai, m",rateo di emissione superficiale convenzionalmente vero,表面放出率の取決め真値,표면 방출률의 약정 참값,"prędkość emisji powierzchniowej,  f",taxa de emissão superficial convencionalmente verdadeira,表面发射率约定真值
395-01-47,radiation emitter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-47,,"Strahler, mStrahlungsemitter, m",radiation emitter,"emisor de radiación, m","émetteur de rayonnement, m",emettitore di radiazione,放射性核種,방사선 방사체,"emiter promieniowania, m",emissor de radiação,辐射发射体
395-01-48,radioisotope,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-48,,"Radioisotop, n",radioisotope,"radioisótopo, m","radio-isotope, m",radioisotopo,放射性同位体放射性同位元素,방사성 동위원소,"izotop promieniotwórczy, m",radioisótopo,放射性同位素
395-01-49,natural radioelement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-49,,"natürliches Radioelement, n",natural radioelement,"elemento radiactivo natural, mradioelemento natural, m","élément radioactif naturel, mradio-élément naturel, m",elemento radioattivo naturale,自然放射性元素,자연 방사선원소,"pierwiastek promieniotwórczy naturalny, m",elemento radioativo naturalradioelemento natural,天然放射性元素
395-01-50,radioactive equilibrium,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-50,,"radioaktives Gleichgewicht, n",radioactive equilibrium,"equilibrio radioactivo, m","équilibre radioactif, m",equilibrio radioattivo,放射平衡,방사성 평형,"równowaga promieniotwórcza, f",equilíbrio radioativo,放射性平衡
395-01-51,radiation sterilization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-51,,"Sterilisation durch Bestrahlung, f",radiation sterilization,"esterilización por radiación, f","stérilisation par rayonnement, f",radiosterilizzazione,放射線滅菌,방사선 살균,"sterylizacja radiacyjna, f",esterilização por radiação,辐射灭菌
395-02-01,annihilation radiation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-01,,"Vernichtungsstrahlung, f",annihilation radiation,"radiación de aniquiliación, f","rayonnement d’annihilation, m",radiazione di annichilazione,消滅放射,소멸 방사선,"promieniowanie anihilacyjne, n",ação de aniquilação,湮没辐射
395-02-02,radioactive standard source,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-02,,"radioaktives Normal, n",radioactive standard source,"fuente radiactiva de referencia, f","source étalon de radioactivité, f",sorgente campione di radioattività,放射能標準線源,표준 방사능 선원표준 방사능 원,"źródło promieniowania wzorcowe, n",fonte radioativa normalizada,标准放射源
395-02-03,certified radioactive standard source,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-03,,"zertifiziertes radioaktives Normal, n",certified radioactive standard source,"fuente radiactiva de referencia homologada, f","source radioactive étalon homologuée, f",sorgente campione certificata di radioattività,認証放射能標準線源,인증 방사능 표준 선원,"źródło promieniowania wzorcowe certyfikowane, n",fonte radioativa normalizada homologada,检定合格标准放射源
395-02-04,traceable radioactive standard source,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-04,,"rückführbares radioaktives Normal, n",traceable radioactive standard source,"fuente radiactiva de referencia trazable, f","source radioactive étalonnée, f",sorgente campione tarata di radioattività,参照放射能標準線源,참조 방사능 표준 선원,"źródło promieniowania wzorcowe wtórne, n",fonte radioativa normalizada calibrada,可溯源标准放射源
395-02-05,sealed source,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-05,,"umschlossene Quelle, f",sealed source,"fuente sellada, f","source scellée, f",sorgente sigillata,密封線源,밀봉 선원,"źródło promieniowania zakryte, n",fonte selada,密封源
395-02-06,simulated source,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-06,,"simulierte Quelle, f",simulated source,"fuente simulada, f","simulateur de source scellée, m",sorgente simulata,シミュレーション線源,모의 선원,"źródło symulujące, n",fonte simulada,模拟源
395-02-07,Compton effect,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-07,,"Compton-Effekt, m",Compton effectCompton scattering,"efecto Compton, mdispersión Compton, m","effet Compton, mdiffusion Compton, f",effetto Comptondiffusione Compton,コンプトン効果,콤프톤 효과,"zjawisko Comptona, n",efeito Compton,康普顿效应康普顿散射
395-02-08,photoelectric effect,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-08,,"photoelektrischer Effekt, mPhotoeffekt, m",photoelectric effect,"efecto fotoeléctrico, m","effet photoélectrique, m",effetto fotoelettrico,光電効果,광전효과,"zjawisko fotoelektryczne, nefekt fotoelektryczny, mpochłanianie fotoelektryczne, n",efeito fotoelétrico,光电效应
395-02-09,pair production,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-09,,"Paarbildung, fPaarerzeugung, f",pair production,"producción de pares, f","production de paire, f",produzione di coppie,電子対生成,쌍 생성전자쌍 생성,"wytwarzanie par, n",produção de pares,电子对产生
395-02-10,prompt neutron,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-10,,"promptes Neutron, n",prompt neutron,"neutrón instantáneo, m","neutron instantané, mDÉCONSEILLÉ: neutron prompt",neutrone istantaneo,即発中性子,즉발 중성자,"neutron natychmiastowy, m",neutrão instantâneo,瞬发中子
395-02-11,delayed neutron,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-11,,"verzögertes Neutron, n",delayed neutron,"neutrón retardado, m","neutron retardé, m",neutrone ritardato,遅発中性子,지발 중성자,"neutron opóźniony, m",neutrão retardado,缓发中子
395-02-12,fast neutron,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-12,,"schnelles Neutron, n",fast neutron,"neutrón rápido, m","neutron rapide, m",neutrone veloce,高速中性子速中性子,고속 중성자,"neutron prędki, m",neutrão rápido,快中子
395-02-13,slow neutron,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-13,,"langsames Neutron, n",slow neutron,"neutrón lento, m","neutron lent, m",neutrone lento,低速中性子,저속 중성자,"neutron powolny, m",neutrão lento,慢中子
395-02-14,intermediate neutron,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-14,,"mittelschnelles Neutron, n",intermediate neutron,"neutrón intermedio, m","neutron intermédiaire, m",neutrone intermedio,中速中性子,중속 중성자,"neutron pośredni, m",neutrão intermediário,中能中子
395-02-15,resonance neutron,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-15,,"Resonanzneutron, n",resonance neutron,"neutrón de resonancia, m","neutron de résonance, m",neutrone di risonanza,共鳴中性子,공명 중성자,"neutron rezonansowy, m",neutrão de ressonância,共振中子
395-02-16,epicadmium neutron,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-16,,"Epicadmium-Neutron, n",epicadmium neutron,"neutrón epicádmio, m","neutron épicadmique, m",neutrone epicadmico,エピカドミウム中性子,에피카드뮴 중성자,"neutron nadkadmowy, mneutron epikadmowy, m",neutrão epicádmico,超镉中子
395-02-17,thermal neutron,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-17,,"thermisches Neutron, n",thermal neutron,"neutrón témico, m","neutron thermique, m",neutrone termico,熱中性子,열 중성자,"neutron termiczny, m",neutrão térmico,热中子
395-02-18,epithermal neutron,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-18,,"epithermisches Neutron, n",epithermal neutron,"neutrón epitérmico, m","neutron épithermique, m",neutrone epitermico,熱外中性子,열외 중성자,"neutron epitermiczny, m",neutrão epitérmico,超热中子
395-02-19,cadmium cutoff,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-19,,"Cadmium-Schwellenenergie, fCadmium-Schwelle, f",cadmium cutoff,"corte de cádmio, m","seuil cadmium effectif, mseuil de coupure du cadmium, m",soglia di interdizione del cadmio,カドミウムカットオフ,카드뮴 차단,"próg kadmowy, modcięcie kadmowe, n",limite de corte de cadmium,镉截止
395-02-20,neutron multiplication,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-20,,"Neutronenmultiplikation, f",neutron multiplication,"multiplicación neutrónica, f","multiplication des neutrons, f",moltiplicazione di neutroni,中性子の増倍,중성자 증배,"mnożenie neutronów, n",multiplicação dos neutrões,中子增殖
395-02-21,moderation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-21,,"Moderation, f",moderation,"moderación, f","modération, f",moderazione,減速,감속,"spowalnianie, n",moderação,慢化
395-02-22,neutron diffusion,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-22,,"Neutronendiffusion, f",neutron diffusion,"difusión de neutrones, f","diffusion des neutrons, f",diffusione di neutroni,中性子の拡散,중성자 확산,"dyfuzja neutronów, f",difusão dos neutrões,中子扩散
395-02-23,albedo,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-23,,"Neutronenalbedo, fAlbedo, f",albedoneutron albedo,"albedo, malbedo de neutrones, m","albédo, malbédo de neutrons, m",albedoalbedo di neutroni,アルベド,알베도,"albedo neutronów, n",albedo,中子反照率
395-02-24,plasma,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-24,,"Plasma, n",plasma,"plasma, m","plasma, m",plasma,プラズマ,플라즈마,"plazma, f",plasma,等离子体
395-02-25,"ignition temperature, <for plasma>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-25,,"Zündtemperatur,  f","ignition temperature, <for plasma>","temperatura de ignición,  f","température d’ignition, <pour un plasma> f",temperatura di innesco,"点火温度, ＜プラズマの＞","발화 온도, <플라즈마>착화온도, <플라즈마>","temperatura zapłonu , f","temperatura de ignição,","点火温度, <等离子体>"
395-02-26,fertile nuclide,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-26,,"brütbares Nuklid, n",fertile nuclide,"núcleo fértil, m","nucléide fertile, m",nuclide fertile,燃料親核種,연료 친 핵종,"nuklid paliworodny, m",nuclídeo fértil,可转换核素
395-02-27,fertile material,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-27,,"brütbares Material, n",fertile material,"material fértil, m","matière fertile, f",materiale fertile,燃料親物質,연료 친 물질핵분열성 물질,"materiał paliworodny, m",matéria fértil,可转换材料
395-02-28,fissile nuclide,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-28,,"thermisch spaltbares Nuklid, n",fissile nuclide,"núcleo fisible, m","nucléide fissile, m",nuclide fissile,核分裂性核種,핵 분열성 핵종,"nuklid rozszczepiany,  m",nuclídeo físsil,易裂变核素
395-02-29,fissionable nuclide,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-29,,"spaltbares Nuklid, n",fissionable nuclide,"núcleo fisionable, m","nucléide fissionnable, m",nuclide fissionabile,核分裂可能核種,핵 분열 가능 핵종,"nuklid rozszczepialny, m",nuclídeo fissívelDESACONSELHADO: nuclídeo cindível,可裂变核素
395-02-30,aerosol,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-30,,"Aerosol, n",aerosol,"aerosol, m","aérosol, m",aerosol,エーロゾル,연무에어로솔,"aerozol, m",aerossol,气溶胶
395-02-31,particulate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-31,,"Schwebstoffteilchen, n",particulate,"partícula, f","particule, fparticule solide, f",particolato,微粒子,미립자,"cząstki stałe, f pl",partícula,微粒
395-02-32,dust,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-32,,"Staub, mStaubteilchen, n",dust,"polvo, m","poussière, f",polvere,ちり,먼지,"pył, m",poeira,尘埃
395-02-33,space charge,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-33,,"Raumladung, f",space charge,"carga espacial, f","charge d’espace, f",carica spaziale,空間電荷,공간 전하,"ładunek przestrzenny, m",carga de espaço,空间电荷
395-02-34,aerodynamic equivalent diameter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-34,,"aerodynamisch äquivalenter Durchmesser, m",aerodynamic equivalent diameter,"diámetro equivalente aerodinámico, m","diamètre aérodynamique équivalent, m",diametro aerodinamico equivalente,空気力学的相当径,공기 역학적 등가 직경공기 역학적 상당 직경,"średnica aerodynamiczna równoważna, f",diâmetro aerodinâmico equivalente,空气动力学等效直径
395-02-35,thermodynamic equivalent diameter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-35,,"thermodynamisch äquivalenter Durchmesser, m",thermodynamic equivalent diameter,"diámetro termodinámico equivalente, m","diamètre thermodynamique équivalent, m",diametro termodinamico equivalente,熱力学的相当径,열 역학적 등가 직경열 역학적 상당 직경,"średnica termodynamiczna równoważna, f",diâmetro termodinâmico equivalente,热力学等效直径
395-02-36,cosmic radiation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-36,,"kosmische Strahlung, fHöhenstrahlung, f",cosmic radiation,"radiación cósmica, f","rayonnement cosmique, m",radiazione cosmica,宇宙線,우주 방사선,"promieniowanie kosmiczne, n",radiação cósmica,宇宙辐射
395-02-37,primary radiation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-37,,"Primärstrahlung, f",primary radiation,"radiación primaria, f","rayonnement primaire, m",radiazione primaria,一次放射線,일차 방사선,"promieniowanie pierwotne, n",radiação primária,初级辐射
395-02-38,secondary radiation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-38,,"Sekundärstrahlung, f",secondary radiation,"radiación secundaria, f","rayonnement secondaire, m",radiazione secondaria,二次放射線,2차 방사선,"promieniowanie wtórne, n",radiação secundária,次级辐射
395-02-39,delta radiation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-02-39,,"Deltastrahlung, f",delta radiation,"radiación delta, f","rayonnement delta, m",radiazione delta,δ線,델타선,"promieniowanie delta, n",radiação delta,δ辐射
