term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,pl,pt,ru,sl,sr,sv,zh
321-03-14,capacitor voltage transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-03-14,الحد الحراري للتيار الثانوي  للحمل,"kapazitiver Spannungswandler, m",capacitor voltage transformer,transformador de tensión capacitivo,kapasitiivinen jännitemuuntaja,"transformateur condensateur de tension, m",trasformatore di tensione capacitivo,コンデンサ形計器用変圧器,커패시터형 전압 변성기커패시터형 계기용 변압기,конденсатортай хүчдэлийн трансформатор,przekładnik napięciowy pojemnościowy,transformador de tensão capacitivo,емкостной трансформатор напряжения,kapacitivni napetostnik,"капацитивни напонски трансформатор, м јд",kondensatorspänningstransformator,电容式电压互感器
321-03-15,capacitor voltage divider,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-03-15,محول جهد سعوي,"kapazitiver Spannungsteiler, m",capacitor voltage divider,divisor (de tensión) capacitivo,kapasitiivinen jännitteenjakaja,"diviseur (de tension) capacitif, m",divisore di tensione capacitivo,コンデンサ形分圧器,커패시터형 분압기커패시터형 전압 분배기,конденсаторуудаас бүрдсэн хүчдэл хуваагуур,dzielnik napięciowy pojemnościowy,divisor (de tensão) capacitivo,емкостной делитель напряжения,kapacitivni napetostni delilnik,"капацитивни делитељ, м јд",kondensatorspänningsdelare,电容分压器
321-03-16,high-voltage terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-03-16,مجزئ جهد سعوي,"Hochspannungsanschlusspunkt, m",high-voltage terminal,borne de alta tensión,suurjänniteliitin,"borne à haute tension, f",terminale di alta tensione,高圧端子,고압 단자,өндөр хүчдэлийн гаргалга,zacisk wysokiego napięcia,terminal de alta tensão,вывод высокого напряжения,visokonapetostni priključek,"високонапонски прикључак, м јд",högspänningsuttag,高压端子
321-03-17,low-voltage terminal (of a capacitor voltage transformer),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-03-17,نهاية جهد عالي,"Niederspannungsanschlusspunkt (eines kapazitiven Spannungswandlers), m",low-voltage terminal (of a capacitor voltage transformer),borne de baja tensión (de un transformador de tensión capacitivo),pienjänniteliitin,borne à basse tension (d'un transformateur condensateur de tension) f,"terminale di bassa tensione (di un 
trasformatore di tensione capacitivo)",低圧端子,"저압 단자, <커패시터형 전압 변성기>","нам хүчдэлийн гаргалга, <конденсатортай хүчдэлийн трансформаторын>",zacisk niskiego napięcia (przekładnika napięciowego pojemnościowego),terminal de baixa tensão (de um transformador de tensão capacitivo),"вывод низкого напряжения, <емкостного трансформатор напряжения>",nizkonapetostni priključek (kapacitivnega napetostnika),"нисконапонски прикључак , <капацитивног напонског трансформатора> м јд",lågspänningsuttag; jorduttag,"低压端子, <电容式电压互感器的>"
321-03-18,intermediate-voltage terminal (of a capacitor voltage transformer),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-03-18,طرف جهد منخفض( لمحول جهد سعوي),"Zwischenspannungsanschlusspunkt (eines kapazitiven Spannungswandlers), m",intermediate-voltage terminal (of a capacitor voltage transformer),borne intermedio (de un transformador de tensión capacitivo),välijänniteliitin,borne intermédiaire (d'un transformateur condensateur de tension) f,"terminale a tensione intermedia (di un 
trasformatore di tensione capacitivo)",中圧端子，中間電圧端子,"중압 단자, <커패시터형 전압 변성기>중간 전압 단자, <커패시터형 전압 변성기>","завсрын хүчдэлийн гаргалга, <конденсатортай хүчдэлийн трансформаторын>",zacisk pośredniego napięcia (przekładnika napięciowego pojemnościowego),terminal intermédio (de um transformador de tensão capacitivo),"вывод промежуточного напряжения, <емкостного трансформатор напряжения>",vmesnonapetostni priključek (kapacitivnega napetostnika),"међунапонски прикључак , <капацитивног напонског трансформатора> м јд",mellanspänningsuttag,"中压端子, <电容式电压互感器的>"
321-03-19,high-voltage capacitor (of a capacitor voltage transformer),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-03-19,طرف وسيط  لمحول جهد سعوي,"Hochspannungskondensator (eines kapazitiven Spannungswandlers), m",high-voltage capacitor (of a capacitor voltage transformer),condensador de alta tensión (de un transformador de tensión capacitivo),suurjännitekondensaattori,condensateur à haute tension (d'un transformateur condensateur de tension) m,"condensatore di alta tensione (di un 
trasformatore di tensione capacitivo)",高圧コンデンサ,"고압 커패시터, <커패시터형 전압 변성기>","өндөр хүчдэлийн конденсатор, <конденсатортай хүчдэлийн трансформаторын>",człon wysokiego napięcia dzielnika pojemnościowego (przekładnika napięciowego pojemnościowego),condensador de alta tensão (de um transformador de tensão capacitivo)capacitor de alta tensão (de um transformador de tensão capacitivo),"конденсатор высокого напряжения, <емкостного трансформатора напряжения>",visokonapetostni kondenzator (kapacitivnega napetostnika),"високонапонски кондензатор , <капацитивног напонског трансформатора> м јд",högspänningskondensator,"高压电容器, <电容式电压互感器的>"
321-03-20,intermediate-voltage capacitor (of a capacitor voltage transformer),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-03-20,مكثف جهد عالي لمحول جهد سعوي,"Zwischenspannungskondensator (eines kapazitiven Spannungswandlers), m",intermediate-voltage capacitor (of a capacitor voltage transformer),condensador de tensión intermedia (de un transformador de tensión capacitivo),välijännitekondensaattori,condensateur à tension intermédiaire (d'un transformateur condensateur de tension) m,"condensatore a tensione intermedia (di un 
trasformatore di tensione capacitivo)",中間電圧コンデンサ,"중압 커패시터, <커패시터형 전압 변성기>중간전압 커패시터, <커패시터형 전압 변성기>","завсрын хүчдэлийн конденсатор, <конденсатортай хүчдэлийн трансформаторын>",człon pośredniego napięcia dzielnika pojemnościowego (przekładnika napięciowego pojemnościowego),condensador de  tensão intermédia (de um transformador de tensão capacitivo)capacitor de  tensão intermédia (de um transformador de tensão capacitivo),"конденсатор промежуточного напряжения, <емкостного трансформатора напряжения>",vmesnonapetostni kondenzator (kapacitivnega napetostnika),"међунапонски кондензатор , <капацитивног напонског трансформатора> м јд",mellanspänningskondensator,"中压电容器, <电容式电压互感器的>"
321-03-21,electromagnetic unit (of a capacitor voltage transformer),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-03-21,مكثف جهد وسيط لمحول جهد سعوي,"induktiver Teil (eines kapazitiven Spannungswandlers), m",electromagnetic unit (of a capacitor voltage transformer),elemento electromagnético (de un transformador de tensión capacitivo),sähkömagneettinen yksikkö,élément électromagnétique (d'un transfor­mateur condensateur de tension) m,"unità elettromagnetica (di un 
trasformatore di tensione capacitivo)",電磁単位,"전자기 요소, <커패시터형 전압 변성기>전자기 부품, <커패시터형 전압 변성기>","цахилгаан соронзон хэсэг, <конденсатортай хүчдэлийн трансформаторын>",człon indukcyjny (przekładnika napięciowego pojemnościowego),elemento electromagnético (de um transformador de tensão capacitivo),"электромагнитное устройство, <емкостного трансформатор напряжения>",elektromagnetna enota (kapacitivnega napetostnika),"електромагнетска јединица , <капацитивног напонског трансформатора> ж јд",mellanspänningsenhet hos kondensatorspänningstransformator,"电磁单元, <电容式电压互感器的>"
321-03-22,open-circuit intermediate voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-03-22,عنصر كهرومغناطيسي لمحول جهد سعوي,"Zwischenspannung bei offenem Stromkreis, f",open-circuit intermediate voltage,tensión intermedia a circuito abierto,välijännitteen tyhjäkäyntiarvo,"tension intermédiaire à circuit ouvert, f",tensione intermedia a circuito aperto,開路中間電圧,개방회로 중압,задгай хэлхээний завсрын хүчдэл,napięcie pośrednie dzielnika przekładnika napięciowego pojemnościowego przy odłączonym członie indukcyjnym,tensão intermédia em circuito aberto,промежуточное напряжение при разомкнутой цепи,vmesna napetost pri odprtem tokokrogu,"међунапон отвореног кола, м јд",mellanspänning i tomgång,开路中间电压
321-03-23,voltage ratio of a capacitor divider,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-03-23,جهد وسطي لدارة مفتوحة,"Spannungsverhältnis (eines kapazitiven Spannungsteilers), n",voltage ratio of a capacitor divider,relación de tensión de un divisor capacitivo,jännitteenjakosuhde,"rapport de tension d'un diviseur capacitif, m",rapporto di tensione di un divisore capacitivo,コンデンサ分割器の電圧比,커패시터 분압기의 전압비,конденсаторуудаас бүрдсэн хуваагуурын хүчдэлийн коэффициент,przekładnia dzielnika pojemnościowego,relação de tensão de um divisor capacitivo,коэффициент трансформации емкостного делителя,prestava kapacitivnega delilnika,"однос напона капацитивног делитеља, м јд",spänningsomsättning hos kondensatorspänningsdelare,电容分压器的分压比
321-03-24,protective device (of a capacitor voltage transformer),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-03-24,نسبة الجهد لمجزء سعوي,"Schutzvorrichtung (eines kapazitiven Spannungswandlers), f",protective device (of a capacitor voltage transformer),dispositivo de protección (de un transformador de tensión capacitivo),suojalaite,dispositif de protection (d'un transformateur condensateur de tension) m,"dispositivo di protezione (di un 
trasformatore di tensione capacitivo)",保護装置,"보호 장치, <커패시터 전압 변성기>","хамгаалалтын төхөөрөмж, <конденсатортай хүчдэлийн трансформаторын>",urządzenie zabezpieczające (przekładnika napięciowego pojemnościowego),dispositivo de protecção (de um transformador de tensão capacitivo),"защитное устройство, <емкостного трансформатор напряжения>",zaščitna naprava (kapacitivnega napetostnika),"заштитни уређај , <капацитивног напонског трансформатора> м јд",dämpkrets,"保护装置, <电容式电压互感器的>保护器件, <电容式电压互感器的>"
