term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,pl,pt,ru,sl,sr,sv,zh
321-02-18,measuring current transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-18,محول تيار مواءم,"Stromwandler für Messzwecke, m",measuring current transformer,transformador de intensidad para medida,mittausvirtamuuntaja,"transformateur de courant pour mesures, m",trasformatore di corrente per misura,計測用変流器,계측용 전류 변성기,хэмжүүрийн гүйдлийн трансформатор,przekładnik prądowy do pomiarów,transformador de corrente para medição,трансформатор тока для измерения,merilni tokovnik,"струјни трансформатор за мерење, м јд",strömtransformator för mätning,测量用电流互感器
321-02-19,protective current transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-19,محول تيارللقياس,"Stromwandler für Schutzzwecke, m",protective current transformer,transformador de intensidad para protección,suojausvirtamuuntaja,"transformateur de courant pour protection, m",trasformatore di corrente per protezione,保護用変流器,보호용 변류기,реле хамгаалалтын гүйдлийн трансформатор,przekładnik prądowy do zabezpieczeń,transformador de corrente para protecção,трансформатор тока для защиты,zaščitni tokovnik,"струјни трансформатор за заштиту, м јд",strömtransformator för reläskydd,保护用电流互感器
321-02-20,residual current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-20,محول تيار للوقاية,"Nullstrom, mReststrom, m",residual current,intensidad residual,nollavirta,"courant résiduel, m",corrente residua,残留電流,잔류 전류,ялгаврын гүйдэл,prąd zerowy,corrente residual,ток нулевой последовательности,residualni tok,"нулта компонента струје, ж јд",summaström; nollföljdsström,剩余电流
321-02-21,residual current transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-21,تيار متبقيتيار متخلف,"Stromwandler für Nullstromerfassung, m",residual current transformer,transformador de intensidad residual,nollavirtamuuntaja,"transformateur de courant résiduel, m",trasformatore per corrente residua,零相変流器,잔류 전류 변성기,ялгаврын гүйдлийн трансформатор,przekładnik prądowy ziemnozwarciowy,transformador de corrente residual,трансформатор тока нулевой последовательности,residualni tokovnik,"струјни трансформатор нулте компоненте струје, м јд",nollföljdsströmtransformator,剩余电流互感器
321-02-22,rated short time thermal current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-22,محول تيار متبقي,"thermischer Bemessungs-Kurzzeitstrom, m",rated short time thermal current,intensidad térmica asignada de corta duración,terminen mitoitusvirtaterminen lyhytaikainen mitoitusvirta,"courant assigné thermique de courte durée, m",corrente nominale termica di cortocircuito,定格短時間熱電流,정격 단시간 열전류,богино хугацаанд дулааны үйлчлэлийг даах хэвийн гүйдэл,prąd znamionowy cieplny krótkotrwały,corrente térmica estipulada e curta duração,номинальный ток термической стойкости,naznačeni kratkotrajni termični tok,"назначена краткотрајна термичка струја, ж јд",termisk märkkortidsström,额定短时热电流
321-02-23,extended rating current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-23,تيار حراري اسمي لزمن قصير,"Bemessungs-Dauerstrom, m",extended rating current,intensidad extendida asignada,virta-alueen laajennuskerroin,"courant étendu assigné, m",corrente nominale primaria estesa,超過定格電流,초과 정격 전류,өргөтгөсөн үзүүлэлттэй гүйдэл,rozszerzony zakres prądowy.,corrente estipulada de gama extensa,номинальный ток расширенного диапазона,razširjeno območje naznačenega toka,"назначена струја проширеног мерног опсега, ж јд",förhöjd märkström,电流扩大值
321-02-24,rated dynamic current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-24,تيار اسمي ممدد,"Bemessungs-Stoßstrom, m",rated dynamic current,intensidad dinámica asignada,dynaaminen mitoitusvirta,"courant dynamique assigné, m",corrente nominale dinamica,定格動電流,정격 동적 전류,динамик тэсвэрлэлтийн хэвийн гүйдэл,prąd znamionowy dynamiczny,corrente dinâmica estipulada,номинальный ток динамической стойкости,naznačeni dinamični tok,"назначена динамичка струја, ж јд",dynamisk märkström,额定动稳定电流
321-02-25,rated continuous thermal current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-25,تيار ديناميكي حركي اسمي,"thermischer Bemessungs-Dauerstrom, m",rated continuous thermal current,intensidad térmica permanente asignada,terminen mitoitusvirtaterminen jatkuva mitoitusvirta,"courant assigné thermique permanent, mcourant d'échauffement, m","corrente massima permanente di 
riscaldamento",定格連続熱電流,정격 연속 열전류,удаан хугацаанд дулааны үйлчлэлийг даах хэвийн гүйдэл,prąd znamionowy cieplny długotrwały,corrente térmica estipulada permanente,нормированный ток длительного нагрева,naznačeni trajni termični tok,"назначена трајна термичка струја, ж јд",termisk märkström,额定连续热电流
321-02-26,composite error,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-26,تيار اسمي حراري مستمر,"Gesamtmessabweichung, f",composite error,error compuesto,yhdistetty virhe,"erreur composée, f",errore composto,複合誤差,복합 오차,нийлмэл алдаа,błąd złożony,erro composto,полная погрешность,skupni pogrešek,"сложена грешка, ж јд",visarfel,复合误差
321-02-27,rated instrument limit primary current (IPL),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-27,خطأ مركب,"Bemessungs-Grenzstrom (für Messinstrumente), m",rated instrument limit primary current (IPL),intensidad primaria límite asignada (para los aparatos de medida) (IPL),mittarivarmuusvirran mitoitusarvio,courant limite primaire assigné (pour les appareils de mesure) (IPL) m,"corrente nominale di sicurezza per gli 
apparecchi di misura",定格機器限界一次電流,"정격 기기 한계 일차 전류, <아이피엘>","хэмжих хэрэгслийн анхдагч хэвийн гүйдлийн хязгаар, <IPL>",prąd znamionowy bezpieczny dla przyrządu  IPL (akronim,corrente limite primária estipulada (para os aparelhos de medição),номинальный предельный первичный ток для измеренийIPL,naznačeni mejni primarni tok (za merilne instrumente) (IPL),"називна гранична примарна струја, ж јдIPL",märköverström för mätkärna,额定仪表限值一次电流
321-02-28,instrument security factor (FS),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-28,تيار ابتدائي اسمي حدي (لأجهزة القياس),"Überstrombegrenzungsfaktor (für Messinstrumente), m",instrument security factor (FS),factor de seguridad (para los aparatos de medida) (FS),mittarivarmuuskerroin,facteur de sécurité (pour les appareils de mesure) (FS) m,"fattore di sicurezza (per gli apparecchi di
misura)",機器安全性係数（FS）,계기 안정성 계수,хэмжих хэрэгслийн аюулгүй байдлын коэффициент,współczynnik bezpieczeństwa przyrządu  FS (akronim,factor de segurança (para os aparelhos de medição),коэффициент безопасности приборовFS,varnostni faktor (za merilne instrumente) (FS),"фактор сигурности, м јдFS",märköverströmstal för mätkärna,仪表保安系数
