term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,sv,zh
415-01-16,brake (for wind turbines),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-01-16,كابح (لعنفات الرياح),"Bremse (bei Windturbinen), f",brake (for wind turbines),freno (para turbines eólicas),jarru,frein (pour les éoliennes) m,freno,"ブレーキ, <風車の>","제동, <풍력 터빈>",hamulec (turbiny wiatrowej),travão (para turbinas eólicas)freio (para turbinas eólicas),broms,"制动器, <风力机>"
415-01-17,parking brake (for wind turbines),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-01-17,كابح الوقوف (لعنفات الرياح),"Feststellbremse (bei Windturbinen), f",parking brake (for wind turbines),freno inmovilización (para turbines eólicas),seisontajarru,frein d'immobilisation (pour les éoliennes) m,freno di parcheggio,"パーキングブレーキ, <風車の>","정지 브레이크, <풍력 터빈>",hamulec parkowania (turbiny wiatrowej),travão de imobilização (para turbinas eólicas),parkeringsbroms,"停机制动, <风力机>"
415-01-18,rotor speed (for wind turbines),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-01-18,سرعة العضو الدوار (لعنفات الرياح),"Rotordrehzahl (bei Windturbinen), f",rotor speed (for wind turbines),velocidad del rotor (para turbinas eólicas),roottorin pyörimisnopeus,vitesse du rotor (pour les éoliennes) f,velocità del rotore,"ロータ回転数, <風車の>","회전자 속도, <풍력 터빈>",prędkość obrotowa (turbiny wiatrowej),velocidade do rotor (para turbinas eólicas),rotorvarvtal,"风轮转速, <风力机>"
415-01-19,control system (for wind turbines),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-01-19,نظام تحكم (لعنفات الرياح,"Betriebsführungssystem (bei Windturbinen), n",control system (for wind turbines),sistema de control (para turbinas eólicas),ohjausjärjestelmä,système de commande (pour les éoliennes) m,sistema di controllosistema di comando,"運転制御装置, <風車の>","제어계, <풍력 터빈>제어 계통, <풍력 터빈>",układ sterowania (turbiny wiatrowej),sistema de controlo (para turbinas eólicas),styrsystem,"控制系统, <风力机>"
415-01-20,protection system (for WTGS),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-01-20,نظام حماية  (لعنفات أنظمة مولدات الرياح),"Sicherheitssystem (bei WEA), n",protection system (for WTGS),sistema de protección (para los aerogeneradores),turvajärjestelmä,système de protection (pour les aérogénérateurs) m,sistema di protezione,"保護装置, <ＷＴＧＳの>","보호 계통, <풍력 터빈 발전 시스템>보호계, <풍력 터빈 발전 시스템>",układ zabezpieczeń (turbozespołu wiatrowego),sistema de protecção (para aerogeradores),säkerhetssystem,"保护系统, <风力发电机组>"
415-01-21,yawing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-01-21,انحراف,"Gierbewegung, f",yawing,orientación,suuntaus,.....,imbardata,ヨー運動,요잉,odchylanie,orientação (para turbinas eólicas de eixo horizontal),girning,偏航
415-02-01,design situation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-02-01,وضع التصميم,"Betriebsart (einer Windturbine), f",design situation,estado de proyecto,mitoitustila,"situation de projet, f",situazione di progetto,設計条件,설계 상황,założenia projektowe,situação de projecto,driftläge,设计工况
415-02-02,load case,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-02-02,حالة حمل,"Lastfall, m",load case,hipótesis de carga,kuormitustapaus,"hypothèse de charge, f",ipotesi di carico,荷重ケース,부하 외함,hipoteza obciążenia,hipótese de carga,lastfall,载荷状况
415-02-03,external conditions (for wind turbines),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-02-03,ظروف خارجية (لحالة الرياح),"Umgebungsbedingungen (bei Windturbinen), f, pl",external conditions (for wind turbines),condiciones externas (para turbinas eólicas),ulkoiset olosuhteet,conditions externes (pour les éoliennes) f pl,condizioni esterne,"外部条件, <風車の>","외부 조건, <풍력 터빈>",warunki zewnętrzne (turbin wiatrowych),condições externas (para turbinas eólicas),yttre förhållande,"外部条件, <风力机>"
415-02-04,design limits,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-02-04,حدود التصميم,"Auslegungsgrenzwerte, m, pl",design limits,límites de diseño,mitoitusrajat,"limites de conception, f pl",limiti di progetto,設計限界,설계 한계,wartości graniczne (parametrów projektowych),limites de projecto,dimensioneringsgränser,设计极限
415-02-05,limit state,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-02-05,حالة النهاية,"Grenzzustand, m",limit state,estado límite,rajatila,"état limite, m",stato limite,限界状態,한계 상태,stan graniczny,estado limite,gränstillstånd,极限状态
415-02-06,serviceability limit states,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-02-06,حالات حدود القدرةعلى الخدمة,"Grenzzustände der Dienstverfügbarkeit, m, plGrenzzustände der Gebrauchstauglichkeit, m, pl",serviceability limit states,estados límite de servicio,käyttörajatilat,"états limites de service, m pl",stato limite di utilizzabilità,運用の限界状態,운용 한계 상태,stany ruchowe graniczne,estados limite de serviço,bruksgränstillstånd,使用极限状态
415-02-07,ultimate limit state,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-02-07,حالة الحد النهائي,"Grenzzustand der Tragfähigkeit, m",ultimate limit state,estado límite último,vikaantumisraja,"état limite ultime, m",stato limite estremo,最終限界状態,최종 한계 상태,stan graniczny krańcowy,estado limite extremo,brottgränstillstånd,最大极限状态
415-02-08,safe life,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-02-08,حياة آمنة,"sichere Lebensdauer, f",safe life,duración de vida segura,tekninen käyttöikä,"durée de vie sûre, f",durata di vita in sicurezza,安全寿命,안전 생활,żywotność,tempo de vida segura,teknisk livslängd,安全寿命
415-02-09,catastrophic failure (for wind turbines),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-02-09,إخفاق فاجع (لعنفات الرياح),"katastrophaler Ausfall, m",catastrophic failure (for wind turbines),fallo catastrófico (para turbinas eólicas),haaveri,défaillance catastrophique (pour les éoliennes) f,guasto catastrofico,"破局的故障, <風車の>","파국 고장, <풍력 터빈>",awaria katastrofalna (turbiny wiatrowej),falha catastrófica (para turbinas eólicas),haveri,严重故障
415-02-10,latent fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-02-10,خطأ كامن,"latenter Fehlzustand, m",latent faultdormant failure,avería latente,piilevä vika,"panne latente, f",avaria latenteguasto latente,潜在故障,잠재 고장,awaria utajona,defeitoavaria latente (desaconselhado),dolt fel,潜伏故障
415-03-01,wind speed,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-03-01,سرعة الرياح,"Windgeschwindigkeit, f",wind speed,velocidad del viento,tuulen nopeus,"vitesse du vent, f",velocità del vento,風速,풍속,prędkość wiatru,velocidade do vento,vindhastighet,风速
415-03-02,wind velocity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-03-02,سرعة الرياح,"Windgeschwindigkeitsvektor, m",wind velocity,velocidad vectorial del viento,tuulen nopeus,"vitesse vectorielle du vent, f",velocità (vettoriale) del vento,風速度,풍속도,prędkość wiatru (w sensie wektorowym),vector velocidade do vento,vindhastighetsvektor,风矢量
415-03-03,rotationally sampled wind velocity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-03-03,عينة سرعة رياح دورانية,"rotatorisch erfasster Windgeschwindigkeitsvektor, mrotatorisch erfasste Windgeschwindigkeit, f",rotationally sampled wind velocity,velocidad del viento muestreada en rotación,pyörivään roottoriin vaikuttava tuulen nopeus,"vitesse vectorielle du vent échantillonnée en rotation, f",velocità vettoriale del vento vista nella rotazione,回転サンプル速度,회전 표본 풍속도회전 샘플링 풍속도,prędkość wiatru próbkowana obrotowo,vector velocidade do vento num ponto do rotor em rotação,samplad vinhastighetsvektor,旋转采样风矢量
415-03-04,rated wind speed (for wind turbines),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-03-04,سرعة الرياح المقننة ( لعنفة الرياح),"Bemessungswindgeschwindigkeit (bei Windturbinen), f",rated wind speed (for wind turbines),velocidad del viento asignada (para turbinas eólicas),mitoitustuulennopeus,vitesse du vent assignée (pour les éoliennes) f,velocità del vento nominale,"定格風速, <風車の>","정격 속도, <풍력 터빈>",prędkość wiatru znamionowa (dla turbin wiatrowych),velocidade do vento estipulada (para turbinas eólicas),vindhastighet vid märkeffekt,"额定风速, <风力机>"
415-03-05,cut‑in wind speed,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-03-05,سرعة رياح قطع الاقلاع,"Einschaltwindgeschwindigkeit, f",cut‑in wind speed,velocidad de inicio,käynnistystuulennopeus,"vitesse de démarrage, f",velocità del vento di inserimento,カットイン風速,커트인 풍속,prędkość wiatru rozruchowa,velocidade mínima do vento para entrada em produção,vindhastighet vid inkoppling,切入风速
415-03-06,cut‑out wind speed,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-03-06,سرعة رياح قطع الخروج,"Ausschaltwindgeschwindigkeit, f",cut‑out wind speed,velocidad de corte,pysäytystuulennopeus,"vitesse de coupure, f",velocità del vento di stacco,カットアウト風速,커트아웃 풍속,prędkość wiatru maksymalna eksploatacyjna,velocidade máxima do vento para produção,vindhastighet vid urkoppling,切出风速
415-03-07,annual average,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-03-07,متوسط سنوي,"Jahresmittel, n",annual average,media anual,vuotuinen keskiarvo,"moyenne annuelle, f",media annua,年平均,연평균,średnia roczna,média anual,årsmedelvärde,年平均
415-03-08,annual average wind speed,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-03-08,متوسط سنوي لسرعة الرياح,"Jahresmittel der Windgeschwindigkeit, n",annual average wind speed,media anual de la velocidad del viento,tuulen nopeuden vuotuinen keskiarvo,"moyenne annuelle de la vitesse du vent, f",velocità media annua del vento,年平均風速,연평균 풍속,średnia roczna prędkość wiatru,média anual da velocidade do vento,årsmedelvindhastighet,年平均风速
415-03-09,mean wind speed,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-03-09,متوسط لسرعة الرياح,"mittlere Windgeschwindigkeit, f",mean wind speed,velocidad media del viento,tuulen nopeuden keskiarvo,"vitesse moyenne du vent, f",velocità media del vento,平均風速,평균 풍속,prędkość wiatru średnia,velocidade média do vento,medelvindhastighet,平均风速
415-03-10,extreme wind speed,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-03-10,أقصى سرعة الرياح,"extreme Windgeschwindigkeit, f",extreme wind speed,velocidad del viento extrema,tuulen nopeuden korkein ääriarvo,"vitesse de vent extrême, f",velocità del vento estrema,極値風速,극치 풍속,prędkość wiatru szczytowa,velocidade extrema do vento,extrem medelvindhastighet,极端风速
415-03-11,survival wind speed (deprecated),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-03-11,سرعة رياح البقاء,"Überlebenswindgeschwindigkeit, f, (abgelehnt)",survival wind speed (deprecated),velocidad de supervivencia,mitoitustuulennopeus,"vitesse de survie, f",velocità del vento di sopravvivenza,耐風速,"내풍속, Deprecated",prędkość wiatru graniczna prędkość wiatru przetrwania,velocidade máxima admissível,maximalt tillåten vindhastighet,"安全风速, <拒用>"
415-03-12,reference wind speed,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-03-12,سرعة رياح مرجعية,"Bezugswindgeschwindigkeit, f",reference wind speed,velocidad del viento de referencia,tuulen nopeuden referenssiarvo,"vitesse du vent de référence, f",velocità del vento di riferimento,基準風速,기준 풍속,prędkość wiatru odniesienia,velocidade do vento de referência,referensvindhastighet,参考风速
415-03-13,wind speed distribution,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-03-13,توزيع سرعة الرياح,"Windgeschwindigkeitsverteilung, f",wind speed distribution,distribución de las velocidades del viento,tuulen nopeusjakauma,"distribution des vitesses du vent, f",distribuzione delle velocità del vento,風速度数分布,풍속 분포,rozkład stochastyczny prędkości wiatrurozkład prędkości wiatru,distribuição de velocidades do vento,vindhastighetsfördelning,风速分布
415-03-14,Rayleigh distribution,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-03-14,توزيع(رايلية),"Rayleigh-Verteilung, f",Rayleigh distribution,distribución de Rayleigh,Rayleighin jakauma,"loi de Rayleigh, f",distribuzione di Rayleigh,レイリー分布,레이라이 분포,rozkład Rayleigha,distribuição de Rayleigh,rayleighfördelning,瑞利分布
415-03-15,Weibull distribution,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-03-15,توزيع (ويبول),"Weibull-Verteilung, f",Weibull distribution,distribución de Weibull,Weibullin jakauma,"loi de Weibull, f",distribuzione di Weibull,ワイブル分布,와이불 분포,rozkład Weibulla,distribuição de Weibull,weibullfördelning,威布尔分布
415-03-16,wind shear,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-03-16,رياح القص,"Windgradient, m",wind shear,cizallamiento del viento,tuuliväänne,"cisaillement du vent, m",gradiente della velocità del vento,ウインドシアー,돌풍,rozkład poprzeczny prędkości wiatru,cisalhamento do vento,vindskjuvning,风切变
415-03-17,wind profile,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-03-17,مخطط الرياح,"Windprofil, n",wind profilewind shear law,perfil del viento,tuuliprofiili,"profil du vent, mloi du cisaillement du vent, f",profilo del vento,ウインドシアー法則ウインドプロファイル,바람 단면바람 전단 분포,profil prędkości wiatruprofil wiatru,perfil do ventolei do cisalhamento do vento,vindprofil,风廓线风切变律
415-03-18,wind shear exponent,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-03-18,أس رياح القص,"Höhenexponent, m",wind shear exponent,exponente de cizallamiento del viento,tuuligradienttia kuvaava eksponentti,"exposant de cisaillement du vent, m",esponente del gradiente della velocità del vento,ウインドシアーの指数,돌풍 지수,wykładnik potęgowy profilu prędkości wiatruwykładnik profilu prędkości wiatruwykładnik profilu wiatru,expoente de cisalhamento do vento,vindskjuvningsexponent,风切变指数
415-03-19,logarithmic wind shear law,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-03-19,قانون رياح القص اللوغارتمي,"logarithmisches Windprofil, n",logarithmic wind shear law,ley logarítmica del cizallamiento del viento,logaritminen tuuliprofiili,"loi logarithmique du cisaillement du vent, f",legge logaritmica del gradiente della velocità del vento,ウインドシアーの対数法則,돌풍 대수법칙,profil logarytmiczny prędkości wiatru,lei logarítmica do cisalhamento do vento,logaritmisk vindprofil,对数风切变律
415-03-20,power law for wind shear,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-03-20,قانون القدرة لرياح  القص,"exponentielles Windprofil, n",power law for wind shear,ley exponencial del cizallamiento del viento,eksponentaalinen tuuliprofiili,"loi exponentielle du cisaillement du vent, f",legge di potenza del gradiente della velocità del vento,ウィンドシアーの指数法則,돌풍 거듭제곱 법칙,profil potęgowy prędkości wiatru,lei exponencial do cisalhamento do vento,exponentlag för vindskjuvning,风切变幂律
415-03-21,downwind,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-03-21,مع إتجاه الرياح,"leewärts, Adjektivin Lee, Adjektiv",downwind,sotavento,alatuuli,"sous le vent, adj",sotto vento,ダウンウインド,하강 기류뒷바람순풍다운 윈드,zawietrzny,sotavento,nedströms,下风向
415-03-22,upwind,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-03-22,عكس إتجاه الرياح,"luvwärts, Adjektivin Luv, Adjektiv",upwind,barlovento,ylätuuli,"au vent, adj",sopravvento,アップウィンド,맞바람역풍,nawietrzny,barlavento,uppströms,上风向
415-03-23,gust,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-03-23,زوبعة ، هبوب الرياح,"Bö, f",gust,ráfaga,tuulenpuuska,"rafale, f",raffica,突風,돌풍,podmuch,rajada,vindby,阵风
415-03-24,roughness length,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-03-24,طول شدة الرياح,"Rauigkeitslänge, f",roughness length,longitud de rugosidad,rosoisuuskorkeus,"longueur de rugosité, f",lunghezza di rugosità,粗度長,거칠기 길이,miara liniowa chropowatości (terenu)szorstkość,comprimento de rugosidade,skrovlighetslängd,粗糙长度
415-03-25,turbulence intensity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-03-25,شدة الاضطراب,"Turbulenzintensität, f",turbulence intensity,intensidad de turbulencia,turbulenssin intensiteetti,"intensité de turbulence, f",intensità della turbolenza,乱数強度,난류 세기,natężenie turbulencji,intensidade de turbulência,turbulensintensitet,湍流强度
415-03-26,turbulence scale parameter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-03-26,مقياس الاضطراب,"Turbulenzlängenparameter, m",turbulence scale parameter,parámetro de escala de la turbulencia,turbulenssin skaalaparametri,"paramètre d'échelle de la turbulence, m",parametro di scala della turbolenza,乱れのスケールパラメータ,난류 크기 매개변수난류 크기 인자,parametr skali turbulencji,parâmetro de escala da turbulência,parameter för turbulensskala,湍流尺度参数
415-03-27,inertial sub-range,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-03-27,قصور المجال التحتي,"Trägheitsbereich, m",inertial sub-range,subdominio inercial,…..,"sous-domaine inertiel, m",sottodominio inerziale,慣性小領域,관성 소영역,podzakres bezwładnościowy,sub-domínio inercial,,湍流惯性负区
415-04-01,interconnection (for WTGS),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-04-01,الربط ( لنظام مولد بعنفة طاقة الرياح),"Netzanschluss (bei WEA), m",interconnection (for WTGS),interconexión (para los aerogeneradores),verkkoonliitäntä,interconnexion (pour les aérogénérateurs) f,interconnessione,"系統連系, <WTGSの>","상호 연계, <풍력 터빈 발전 시스템>",przyłącze (turbozespołu wiatrowego),interconexão (para aerogeradores),nätanslutning,"互联, <风力发电机组>"
415-04-02,output power (for WTGS),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-04-02,قدرة الخرج ( لنظام مولد بعنفة طاقة الرياح),"Ausgangsleistung (bei WEA), f",output power (for WTGS),potencia de salida (de un aerogenerador),antoteho,puissance de sortie (d'un aérogénérateur) f,potenza di uscitapotenza resa,"出力, <WTGSの>","출력 전력, <풍력 터빈 발전 시스템>",moc wyjściowa (turbozespołu wiatrowego),potência de saída (de um aerogerador),uteffekt,"输出功率, <风力发电机组>"
415-04-03,rated power (for WTGS),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-04-03,القدرة المقننة( لنظام مولد بعنفة طاقة الرياح),"Bemessungsleistung (bei WEA), f",rated power (for WTGS),potencia asignada (de un aerogenerador),mitoitusteho,puissance assignée (d'un aérogénérateur) f,potenza nominale,"定格出力, <WTGSの>","정격 용량, <풍력 터빈 발전 시스템>",moc znamionowa (turbozespołu wiatrowego),potência estipulada (de um aerogerador),märkeffekt,"额定功率, <风力发电机组>"
415-04-04,maximum power (of a wind turbine generator system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-04-04,أقصى قدرة ( لنظام مولد بعنفة طاقة الرياح),"Maximalleistung (einer WEA), f",maximum power (of a wind turbine generator system),potencia máxima (de un aerogenerador),maksimiteho,puissance maximale (d'un aérogénérateur) f,massima potenza,"最大出力, <風力発電システムの>","최대 전력, <풍력 터빈 발전 시스템>",moc maksymalna (turbozespołu wiatrowego),potência máxima (de um aerogerador),maximieffekt,"最大功率, <风力发电机组>"
415-04-05,network connection point (for WTGS),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-04-05,نقطة توصيل شبكة,"Netzanschlusspunkt (bei WEA), m",network connection point (for WTGS),punto de conexión a la red eléctrica (para un aerogenerador),verkkoonliitäntäpiste,point de connexion au réseau électrique (pour un aérogénérateur) m,punto di connessione alla rete (elettrica),"電力網接続点, <WTGSの>","망 접속점, <풍력 터빈 발전 시스템>",punkt przyłączenia do sieci (turbozespołu wiatrowego),ponto de conexão à rede eléctrica (de um aerogerador),nätanslutningspunkt,"电网联接点, <风力发电机组>"
415-04-06,power collection system (for WTGS),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-04-06,نظام تجميع قدرة ( لنظام مولد بعنفة طاقة الرياح),"elektrisches Kraftwerksnetz (bei WEA), n",power collection system (for WTGS),sistema de acumulación de potencia (para los aerogeneradores),sähkökytkentäjärjestelmä,système de collecte de puissance (pour les aérogénérateurs) m,sistema collettore di potenza,"送配電設備, <WTGSの>","전력 수집 시스템, <풍력 터빈 발전 시스템>",układ odbioru mocy (turbozespołu wiatrowego),sistema colector de potência (para aerogeradores),elektriskt anslutningssystem,"电力汇集系统, <风力发电机组>"
415-04-07,site electrical facilities,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-04-07,مرافق موقع كهربائي ، تسهيلات موقع كهربائي,"elektrische Einrichtungen am Standort, f, pl",site electrical facilities,instalaciones eléctricas del sitio,sähköjärjestelmän laitteet,"installations électriques du site, f pl",impianti elettrici del sito,電気設備,전기 시설 부지,urządzenia elektryczne własne,instalações eléctricas do sítio,aggregatplatsens elinstallationer,风场电气设备
415-05-01,power performance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=415-05-01,أداء قدرة,"Leistungsverhalten, n",power performance,aptitud de potencia,tuotantokyky,"performance de puissance, f",prestazioni di potenza,風車性能,출력 성능,wydajność energetyczna,desempenho de potência,produktionsprestanda,功率特性
