term_id,term,term_url,ar,de,en,es,fr,ja,ko,nl,pl,pt,sr,sv,zh
102-05-05,circulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-05,,"Umlaufintegral, n",circulation,circulación (2),"circulation, <courbe fermée> f",循環,순환,"kringintegraal, m","całka krzywoliniowa skalarna, <po drodze zamkniętej> fcyrkulacja, f",circulação,"циркулација, ж јд",sluten linjeintegral,环路积分
102-05-06,scalar surface element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-06,,"skalares Flächenelement, n",scalar surface element,elemento escalar de superficie,"élément scalaire de surface, m",スカラ面積素,스칼라 곡면 원소,"scalair oppervlakte-element, n",element różniczkowy skalarny powierzchni,elemento escalar de superfície,"скаларни елемент површи, м јд",skalärt ytelement,标量曲面元素
102-05-07,vector surface element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-07,,"vektorielles Flächenelement, n",vector surface element,elemento vectorial de superficie,"élément vectoriel de surface, m",ベクトル面積素,벡터 곡면 원소,"vectorieel oppervlakte-element, n",element różniczkowy wektorowy powierzchni,elemento vectorial de superfície,"векторски елемент површи, м јд",vektoriellt ytelement,向量曲面元素
102-05-08,surface integral,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-08,,"Flächenintegral, n",surface integral,integral de superficie,"intégrale de surface, f",面積分,면적분,"oppervlakte-integraal, m",całka powierzchniowa,integral de superfície,"површински интеграл, м јд",ytintegral,曲面积分
102-05-09,"flux, <of a vector>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-09,,"Fluss (eines Vektors), m","flux, <of a vector>",flujo (de un vector),"flux, <d'un vecteur> m","流束, <ベクトルの>","속, <벡터>플럭스, <벡터>","flux, <van een vector> m",strumień (wektora),fluxo (de um vector),"флукс, <вектора> м јд",flöde (av ett vektorfält)r,"通量, <向量的>"
102-05-10,volume element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-10,,"Volumenelement, n",volume element,elemento de volumen,"élément de volume, m",体積要素,부피원소체적원소,"volume-element, n",element różniczkowy objętości,elemento de volume,"запремински елемент, м јд",volymelement,体积元素
102-05-11,volume integral,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-11,,"Volumenintegral, n",volume integral,integral de volumen,"intégrale de volume, f",体積積分,부피적분,"volume-integraal, m",całka objętościowa,integral de volume,"запремински интеграл, м јд",volymintegral,体积积分
102-05-12,field,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-12,,"Feld, n",field,campo (1),"champ, <fonction> m",場,장계,"veld, n","pole, n",campo,"поље, с јд",fält,场
102-05-13,scalar field,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-13,,"Skalarfeld, n",scalar field,campo escalar,"champ scalaire, m",スカラー場,스칼라장,"scalair veld, n","pole skalarne, n",campo escalar,"скаларно поље, с јд",skalärfält,标量场
102-05-14,vector field,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-14,,"Vektorfeld, n",vector field,campo vectorial,"champ vectoriel, m",ベクトル場,벡터장,"vectorveld, n","pole wektorowe, n",campo vetorial,"векторско поље, с јд",vektorfält,向量场
102-05-15,field line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-15,,"Feldlinie, f",field line,línea de campo,"ligne de champ, f",力線,장선,"veldlijn, f","linia pola, f",linha de campo,"линија поља, ж јд",fältlinje,场线
102-05-16,tensor field,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-16,,"Tensorfeld, n",tensor field,campo tensorial,"champ tensoriel, m",テンソル場,텐서장,"tensorveld, n","pole tensorowe, n",campo tensorial,"тензорско поље, с јд",tensorfält,张量场
102-05-17,field quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-17,,"Feldgröße, f",field quantity,campo (2)magnitud de campo,"champ, <grandeur> m",場の量,장량,"veldgrootheid, f","wielkość polowa, f",campo,"величина поља, ж јд",fältstorhet,场量
102-05-18,nabla operator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-18,,"Nabla, nNabla-Operator, mDifferentialoperator, m",nabla operatornabla,operador nablanabla,"opérateur nabla, mnabla, m",ナブラ演算子ナブラ,나불라연산자,"nabla operator, m",operator nablanabla,operador nabla,"оператор набла, м јднабла, ж јд",nablanabla operator,纳布拉算子
102-05-19,gradient,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-19,,"Gradient, m",gradient,gradiente,"gradient, m",勾配,기울기,"gradiënt, m",gradient,gradiente,"градијент, м јд",gradient,梯度
102-05-20,divergence,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-20,,"Divergenz, f",divergence,divergencia,"divergence, f",発散,발산,"divergentie, f","dywergencja, f",divergência,"дивергенција, ж јд",divergens,散度
102-05-21,solenoidal field,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-21,,"quellenfreies Feld, n",solenoidal fieldzero-divergence field,campo solenoidalcampo de flujo conservativo,"champ solénoïdal, mchamp à flux conservatif, m",ソレノイド場発散ゼロ,솔레노이드장,"divergentievrij vectorveld, n",pole bezźródłowepole solenoidalne,campo solenoidalcampo de divergência nula,"соленоидално поље, с јдпоље са дивергенцијом једнакој нули, с јд",divergensfritt fält,无散场零散度场
102-05-22,rotation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-22,,"Rotor, mRotation, f",rotationcurl,rotacional,"rotationnel, m",回転,회전,"rotor, <van een vectorveld> mrotatie, <van een vectorveld> f",rotacja,rotacional,"ротор, м јд",rotation,旋度
102-05-23,irrotational field,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-23,,"wirbelfreies Feld, n",irrotational field,campo irrotacional,"champ irrotationnel, m",渦無し場,비회전장,"rotatievrij vectorveld, n","pole bezwirowe, n",campo irrotacional,"безвртложно поље, с јд",rotationsfritt fält,无旋场
102-05-24,potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-24,,"Potential, nskalares Potential, n",potentialscalar potential,potencialpotencial escalar,"potentiel, mpotentiel scalaire, m",ポテンシャルスカラーポテンシャル,전위스칼라 전위,"potentiaal, m","potencjał, mpotencjał skalarny, m",potencialpotencial escalar,"потенцијал, м јдскаларни потенцијал, м јд",potentialskalär potential,位势标量位势
102-05-25,"equipotential, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-25,,"Äquipotential…, in Zusammensetzungen","equipotential, adj",equipotencial,"équipotentiel, adj","等ポテンシャル, 形容詞","등전위, 형용사","equipotentiaal, adj",ekwipotencjalny,equipotencial,"еквипотенцијални, придев","ekvipotential, adjektiv",等势的
102-05-26,vector potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-26,,"Vektorpotential, n",vector potential,potencial vector,"potentiel vecteur, m",ベクトルポテンシャル,벡터 전위,"vectorpotentiaal, <van een (gegeven) vectorveld> m",potencjał wektorowy,potencial vector,"векторски потенцијал, м јд",vektor potential,向量位势
102-05-27,Laplacian operator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-27,,"Laplace-Operator, m",Laplacian operatorLaplacian,operador laplacianalaplaciana,"opérateur laplacien, mlaplacien, m",ラプラス演算子ラプラシアン,라플라스 연산자,"laplaciaan, mlaplace-operator, m",laplasjanoperator Laplace’a,operador laplacianolaplaciano,"Лапласов оператор, м јдлапласијан, м јд",Laplaceoperator,拉普拉斯算子
102-05-28,"Laplacian, <of a scalar field>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-28,,"Laplace-Operator (angewandt auf eine skalare Feldgröße), mskalarer Laplace-Operator, m","Laplacian, <of a scalar field>",laplaciana escalarlaplaciana de un campo escalar,"laplacien scalaire, m","ラプラシアン, <スカラ場の>","라플라시안, <스칼라장>","laplaciaan, <van een scalair veld> m",laplasjan skalarny,laplaciano escalar,"лапласијан, <скаларног поља> м јд",Laplaceoperator (på ett skalärfält),"拉普拉斯算子, <标量场的>"
102-05-29,"Laplacian, <of a vector field>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-29,,"Laplace-Operator (angewandt auf eine vektorielle Feldgröße), mvektorieller Laplace-Operator, m","Laplacian, <of a vector field>",laplaciana vectoriallaplaciana de un campo vectorial,"laplacien vectoriel, m","ラプラシアン, <ベクトル場の>","라플라시안, <벡터장>","laplaciaan, <van een scalair veld> m",laplasjan wektorowy,laplaciano vectorial,"лапласијан, <векторског поља> м јд",Laplaceoperator (på ett vektorfält),"拉普拉斯算子, <向量场的>"
102-05-30,divergence theorem,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-30,,"Gaußscher Integralsatz, mSatz von Gauß-Ostrogradski, m",divergence theoremGauss theoremOstrogradsky theorem,teorema de la divergenciateorema de Gauss-Ostrogradski,"théorème de la divergence, mthéorème d'Ostrogradski, m",発散定理ガウスの定理オストログラツキーの定理,발산 정리,"divergentiestelling, fstelling van Gauss, f","prawo Gaussa, n",teorema da divergênciateorema de Gauss,"теорема о дивергенцији, ж јдГаусова теорема, ж јд",Gauss sats,散度定理高斯定理高斯散度定理
102-05-31,Stokes theorem,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-31,نظرية ستوكس,"Stokesscher Integralsatz, m",Stokes theoremcirculation theorem,teorema de la circulaciónteorema de Ampère-Stokes,"théorème de Stokes, mthéorème d'Ampère-Stokes, m",ストークスの定理,스토크스 정리,"stelling van Stokes, f","twierdzenie Stokesa, n",teorema de Stokesteorema da circulação,"Стоксова теорема, ж јдтеорема циркулације, ж јд",Stokes sats,斯托克斯定理
102-05-32,first Green formula,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-32,,"erste Greensche Formel, f",first Green formula,primera fórmula de Green,"première formule de Green, f",グリーンの第一定理,그린 제1공식,"eerste formule van Green, f",pierwsza tożsamość Greena,primeira fórmula de Green,"прва Гринова формула, ж јд",Greens första formel,格林第一公式
102-05-33,second Green formula,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-33,,"zweite Greensche Formel, f",second Green formulasecond Green theoremsecond Green identity,segunda fórmula de Greenfórmula de Green,"formule de Green, fdeuxième formule de Green, f",グリーンの第二公式グリーンの第二定理グリーンの第二恒等式,그린 제2공식,"tweede formule van Green, f","druga tożsamość Greena, f",segunda fórmula de Green,"друга Гринова формула, ж јд",Greens andra formel,格林第二公式格林第二定理格林恒等式
102-05-34,conservative field,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-34,,"konservatives Feld, n",conservative field,,"champ conservatif, m",保存場,,"conservatief veld, n","pole zachowawcze, n",campo conservativo,,,守恒场
102-06-01,matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-01,,"Matrix, f",matrix,matriz,"matrice, f",行列マトリックス,행렬매트릭스,"matrix, f",macierz,matriz,"матрица, ж јд",matris,矩阵
102-06-02,"type, <of a matrix>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-02,,"Typ (einer Matrix), m","type, <of a matrix>",tipo (de una matriz)formato (de una matriz),"format, <d'une matrice> m","形, <行列の>","형식, <행렬>","type, <van een matrix> n",rozmiar macierzy,tipo (de uma matriz),"тип, <матрице> м јд",slag av matris,"型, <矩阵的>"
102-06-03,row matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-03,,"Zeilenmatrix, fZeilenvektor, n, (abgelehnt)",row matrixDEPRECATED: row vector,matriz filavector fila (desaconsejado),"matrice-ligne, fDÉCONSEILLÉ: vecteur-ligne, m","行マトリックス行ベクトル, deprecated",행 행렬,"rijmatrix, f",macierz wierszowa,matriz linha,"матрица ред, м јдвектор ред, м јд",radmatris,"行矩阵行向量, （拒用）"
102-06-04,column matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-04,,"Spaltenmatrix, fSpaltenvektor, n, (abgelehnt)",column matrixDEPRECATED: column vector,matriz columnavector columna (desaconsejado),"matrice-colonne, fDÉCONSEILLÉ: vecteur-colonne, m","列マトリックス列ベクトル, deprecated",열 행렬,"kolommatrix, f",macierz kolumnowawektor (termin nie zalecany w tym sensie),matriz coluna,"матрица колона, ж јдвектор колона, ж јд",kolumnmatris,"列矩阵列向量, （拒用）"
102-06-05,product of a matrix by a scalar,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-05,,"Produkt einer Matrix mit einem Skalar, n",product of a matrix by a scalar,producto de una matriz por un escalar,"produit d’une matrice par un scalaire, m",スカラによる行列の積,스칼라의 행렬 곱,"product van een matrix met een scalair, n",iloczyn macierzy i skalara,produto de uma matriz por um escalar,"производ матрице са скаларом, м јд",produkt av matris och tal,矩阵与标量的积
102-06-06,sum of two matrices,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-06,,"Summe zweier Matrizen, f",sum of two matrices,suma de dos matrices,"somme de deux matrices, f",二つの行列の和,2 행렬의 합,"som van twee matrices, f",suma dwóch macierzy,soma de duas matrizes,"збир две матрице, м јд",summa av två matriser,两个矩阵的和
102-06-07,zero matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-07,,"Nullmatrix, f",zero matrix,matriz nula,"matrice nulle, f",零行列,영 행렬,"nulmatrix, f",macierz zerowa,matriz nula,"нула матрица, ж јд",noll matris,零矩阵
102-06-08,product of two matrices,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-08,,"Produkt zweier Matrizen, n",product of two matrices,producto de dos matrices,"produit de deux matrices, m",二つの行の積,2 행렬의 곱,"product van twee matrices, n",iloczyn dwóch macierzy,produto de duas matrizes,"производ две матрице, м јд",produkt av två matriser,两个矩阵的积
102-06-09,square matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-09,,"quadratische Matrix, f",square matrix,matriz cuadrada,"matrice carrée, f",正方行列,정방 행렬,"vierkante matrix, f",macierz kwadratowa,matriz quadrada,"квадратна матрица, ж јд",kvadratmatris,方阵
102-06-10,"order, <of a square matrix>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-10,,"Rang (einer quadratischen Matrix), m","order, <of a square matrix>",orden (de una matriz cuadrada),"ordre, <d'une matrice carrée> m","次元, <正方行列の>","차수, <정방행렬>","orde, <van een vierkante matrix> m/f",rząd   (macierzy kwadratowej),ordem (de uma matriz quadrada),"ред, <квадратне матрице> м јд",ordning av en kvadratmatris,"阶, <方阵的>"
102-06-11,"multiplication, <of square matrices>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-11,,"Multiplikation (von quadratischen Matrizen), f","multiplication, <of square matrices>",multiplicación (de matrices cuadradas),"multiplication, <des matrices carrées> f","乗法, <複素正方行列の>","곱셈, <정방행렬>","vermenigvuldiging, <van vierkante matrices> f",mnożenie   (macierzy kwadratowej),multiplicação (de matrizes quadradas),"множење, <квадратне матрице> с јд",multiplikation (av kvadratiska matriser),"乘法, <方阵的>"
102-06-12,Kronecker delta,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-12,,,Kronecker deltaDEPRECATED: Kronecker symbol,delta de Kroneckersímbolo delta de Kronecker,"symbole de Kronecker, mdelta de Kronecker, msymbole delta de Kronecker, m",クロネッカーのデルタ,크로넥커 델타,"kroneckerdelta, m","symbol Kroneckera, mdelta Kroneckera, f",símbolo de Kroneckerdelta de Kronecker,"Кронекерова делта, ж јдКронекеров симбол, м јд",Kroneckers delta,克罗内克符号克罗内克δ
102-06-13,unit matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-13,,"Einheitsmatrix, fEinsmatrix, f",unit matrix,matriz unidad,"matrice unité, f",単位行列,단위 행렬,"eenheidsmatrix, f",macierz jednostkowa,matriz unidade,"јединична матрица, ж јд",enhetsmatris,单位矩阵
102-06-14,regular matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-14,,"reguläre Matrix, f",regular matrix,matriz regular,"matrice régulière, f",正則行列,정칙 행렬,"reguliere matrix, f",macierz regularna,matriz regular,"регуларна матрица, ж јд",reguljär matris,正则矩阵
102-06-15,singular matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-15,,"singuläre Matrix, f",singular matrix,matriz singular,"matrice singulière, f",非正則行列特異行列,특이 행렬비정칙 행렬,"singuliere matrix, f",macierz osobliwamacierz syngularna,matriz singular,"сингуларна матрица, ж јд",singulär matris,奇异矩阵
102-06-16,inverse of a square matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-16,,"inverse Matrix, fKehrmatrix, f",inverse of a square matrix,inversa de una matriz cuadrada,"inverse d’une matrice carrée, f",正方行列の逆,역정방 행렬,"inverse matrix, f",odwrotność macierzy kwadratowej,inverso de uma matriz quadrada,"инверзна матрица квадратне матрице, ж јд",invers av en kvadratisk matris,方阵的逆
102-06-17,transpose matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-17,,"transponierte Matrix, f",transpose matrixtranspose of a matrix,matriz transpuestatranspuesta,"transposée, fmatrice transposée, f",転置行列行列の転置,전치 행렬,"getransponeerde matrix, f",macierz transponowana,matriz transposta,"транспонована матрица, ж јдтранспоновање матрице, с јд",transponerad matris,转置矩阵
102-06-18,complex conjugate matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-18,,"konjugierte Matrix, f",complex conjugate matrix,matriz conjugada,"matrice conjuguée, f",複素共役行列,복소 켤레 행렬,"complex toegevoegde matrix, f",macierz zespolona sprzężona,matriz conjugada,"комплексно конјугована матрица, ж јд",komplex konjugat av en matris,复共轭矩阵
102-06-19,Hermitian conjugate matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-19,,"transjugierte Matrix, fadjungierte Matrix, f",Hermitian conjugate matrix,matriz adjuntaadjunta,"adjointe, fmatrice adjointe, f",エルミート共役行列,에르미트 켤레 행렬,"geadjungeerde matrix, fcomplex toegevoegde getransponeerde matrix, fgeconjugeerde getransponeerde matrix, f",macierz sprzężona Hermite’a,matriz adjunta,"Ермитова конјугована матрица, ж јд",hermitiskt konjugat av en matris,埃尔米特共轭矩阵
102-06-20,"determinant, <of a matrix>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-20,,"Determinante (einer Matrix), f","determinant, <of a matrix>",determinante (de una matriz),"déterminant, <d'une matrice> m","行列式, <行列の>","행렬식, <행렬>","determinant, <van een matrix> m",wyznacznik (macierzy),determinante (de uma matriz),"детерминанта, <матрице> ж јд",determinant (av en matris),"行列式, <矩阵的>"
102-06-21,"trace, <of a matrix>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-21,,"Spur, f","trace, <of a matrix>",traza,"trace, <d’une matrice> f",対角和トレース,"대각합, <행렬>","spoor, <van een matrix> n",ślad,traço,"траг матрице, м јд",spår,迹
102-06-22,norm of a matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-22,,"Norm (einer Matrix), f",norm of a matrix,norma de una matriz,"norme d’une matrice, f",行列のノルム,행렬놈,"norm van een matrix, m/f",norma macierzy,norma de uma matriz,"норма матрице, ж јд",norm av en matris,矩阵的范
102-06-23,eigenvalue,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-23,,"Eigenwert, m",eigenvalue,valor propio,"valeur propre, f",固有値,고유값,"eigenwaarde, f",wartość własna,valor próprio,"својствена вредност, ж јд",egenvärde,本征值
102-06-24,eigenvector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-24,,"Eigenvektor, m",eigenvector,vector propio,"vecteur propre, m",固有ベクトル,고유 벡터,"eigenvector, m",wektor własny,vector próprio,"својствени вектор, м јд",egenvektor,本征向量
102-06-25,symmetric matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-25,,"symmetrische Matrix, f",symmetric matrix,matriz simétrica,"matrice symétrique, f",対称行列,대칭 행렬,"symmetrische matrix, f",macierz symetryczna,matriz simétrica,"симетрична матрица, ж јд",symmetrisk matris,对称矩阵
102-06-26,orthogonal matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-26,,"orthogonale Matrix, f",orthogonal matrix,matriz ortogonal,"matrice orthogonale, f",直交行列,직교 행렬,"orthogonale matrix, f",macierz ortogonalna,matriz ortogonal,"ортогонална матрица, ж јд",ortogonal matris,正交矩阵
102-06-27,Hermitian matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-27,,"hermitesche Matrix, fselbstadjungierte Matrix, f",Hermitian matrix,matriz hermítica,"matrice hermitienne, f",エルミート行列,에르미트 행렬,"hermitische matrix, fzelf-geadjungeerde matrix, f",macierz Hermite’a,matriz hermitiana,"Ермитова матрица, ж јд",hermitisk matris,埃尔米特矩阵
102-06-28,unitary matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-28,,"unitäre Matrix, f",unitary matrix,matriz unitaria,"matrice unitaire, f",ユニタリー行列,단위 행렬,"unitaire matrix, f",macierz unitarna,matriz unitária,"унитарна матрица, ж јд",enhetsmatris,酉矩阵
102-06-29,positive definite matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-06-29,,"positiv definite Matrix, f",positive definite matrix,matriz definida positiva,"matrice définie positive, f",正定値行列,양정치 행렬,"positief-definiete matrix, f",macierz dodatnio określona,matriz definida positiva,"позитивнo дефинисана матрица, ж јд",positivt definit matris,正定矩阵
