term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,sr,sv,zh
541-01-16,flex-rigid printed board,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=541-01-16,لوحة مطبوعة مرنة- صلبة,"starr-flexible Leiterplatte, f",flex-rigid printed board,tarjeta impresa flexible-rígida,"carte imprimée flexorigide, f",Scheda stampata flesso-rigida,フレックスリジッドプリント板,연성 경질 인쇄 회로 기판,płytka drukowana giętko-sztywna,placa impressa flexo-rígida,"савитљиво-крута штампана плоча, ж јд",,刚挠印制板
541-01-17,flex-rigid double-sided printed board,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=541-01-17,لوحة مرنه - صلبه مطبوعة  على وجهين,"starr-flexible beidseitig beschichtete Leiterplatte, f",flex-rigid double-sided printed board,tarjeta impresa flexible-rígida de doble cara,"carte imprimée flexorigide double face, f",Scheda stampata flesso-rigida  a doppia faccia,フレックスリジッド両面プリント板,유연 강성 이중 인쇄 기판,płytka drukowana giętko-sztywna dwustronna,placa impressa flexo-rígida de face dupla,"савитљиво-крута двострана штампана плоча, ж јд",,刚挠双面印制板
541-01-18,flex-rigid multilayer printed board,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=541-01-18,لوحة مرنه - صلبه مطبوعة  متعددة الطبقات,"starr-flexible Mehrlagen-Leiterplatte, fstarr-flexibler Multilayer, m",flex-rigid multilayer printed board,tarjeta impresa flexible-rígida multicapa,"carte imprimée flexorigide multicouche, f",Scheda stampata  flesso-rigida multistrato,フレックスリジッド多層プリント板,연성 경질 다층 인쇄 회로 기판,płytka drukowana giętko-sztywna wielowarstwowa,placa impressa flexo-rígida multicamada,"савитљиво-крута вишеслојна штампана плоча, ж јд",,刚挠多层印制板
541-01-19,metal core printed board,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=541-01-19,لوحة مطبوعة ذات قلب معدنى,"Metallkern-Leiterplatte, f",metal core printed board,tarjeta impresa con alma metálica,"carte imprimée à âme métallique, f",Scheda stampata con anima metallica,メタルコアプリント板,금속 코어 인쇄 회로 기판,płytka drukowana z rdzeniem metalowym,placa impressa de alma metálica,"штампана плоча са металним језгром, ж јд",metallkärnekort,金属芯印制板
541-01-20,conductor (of a printed board),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=541-01-20,موصل(للوحة مطبوعة),"Leiter (auf einer Leiterplatte), f",conductor (of a printed board),conductor (de una tarjeta impresa),conducteur (d'une carte imprimée) m,Conduttore,導体,"도체, <인쇄 기판>코일변, <인쇄 기판>",ścieżka (płytki drukowanej),condutor (de uma placa impressa),"проводник, м јд (штампане плоче)",ledare,"导体, <印制板的>"
541-01-21,edge board contacts,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=541-01-21,تلامسات طرفية للوحة,"Randkontakte, m, pl",edge board contacts,contactos de borde de tarjeta,"contacts d'extrémité de carte, m pl fichier imprimé, m",Contatti a bordo schedacontatti laterali per connettori,エッジコネクタ端子,에지 기판 접속,styki krawędziowe płytki,contactos de bordo de uma placa,"штампани ивични контакти, м мн",kontaktfingrar,印制插头
541-01-22,legend,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=541-01-22,مفتاح المصطلحات,"Beschriftung (einer Leiterplatte), f",legend,marcado,"marquage, m",legendadicitura,マーキングシンボルマーク,레전드색인,opis,marcação,"легенда, ж јд",märkning,字符
541-01-23,taped components,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=541-01-23,عناصر شريطية,"gegurtete Bauteile, n, pl",taped components,componentes embandados,"composants sur bande, m pl",Componenti nastrati,テープ部品,테이프 구성 요소,podzespoły taśmowane elementy taśmowane,componentes em banda,"компоненте паковане на траци, ж мн",bandade komponenter,带载式元件
541-02-01,base material,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=541-02-01,مادة أساس,"Basismaterial, n",base material,material de base,"matériau de base, m",Materiale di base,基板,기초 재료,"materiał bazowy, m",material de base,"основни материјал, м јд",basmaterial,基材
541-02-02,metal core base material,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=541-02-02,مادة أساس ذات القلب المعدني,"Metallkern-Basismaterial, n",metal core base material,material de base con alma metálica,"matériau de base à âme métallique, m",Materiale di base con anima metallica,メタルコア基板,금속 코어 기판 재료,materiał podłoża z rdzeniem metalowym,material de base de alma metálica,"основни материјал са металним језгром, м јд",basmaterial med metallkärna,覆金属芯基材
541-02-03,metal-clad base material,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=541-02-03,مادة أساس مطلية بالمعدن,"metallkaschiertes Basismaterial, n",metal-clad base material,material de base metalizado,"matériau de base métallisé, m",Materiale di base metallizzato,金属張基板,금속 입힘 기판 재료,foliowany materiał podłoża,material de base metalizado,"основни материјал обложен металом, м јд",metallfolierat basmaterial,覆金属箔基材
541-03-01,artwork master,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=541-03-01,عمل فني رئيسي,"Druckvorlage, f",artwork master,diseño original,"dessin modèle, m",Disegno originale,アートワークマスタ,원도원화,klisza wzorcowa,desenho original,"главни цртеж, м јдоригинална цртана шема, ж јд",mönsterritning,照相原图
541-03-02,component hole,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=541-03-02,ثقب  عنصر,"Anschlussloch, n",component hole,agujero de conexión,"trou de connexion, m",Foro per connessioni elettriche,部品孔,부품 홀,otwór montażowy,furo de conexão,"рупа за компоненту, ж јд",anslutningshål,元件孔
541-03-03,mounting hole,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=541-03-03,ثقب تركيب,"Befestigungsloch, n",mounting hole,agujero de montaje,"trou de montage, m",Foro di montaggio,取付け穴,장착 홀,otwór mocujący,furo de montagem,"монтажна рупа, ж јд",monteringshål,安装孔
541-03-04,plated-through hole,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=541-03-04,ثقب عبر الصفيحة,"metallisiertes Loch, n",plated-through hole,agujero metalizado,"trou métallisé, m",Foro  passante metallizzato,めっきスルーホール,관통 도금,otwór metalizowany,furo metalizado,"метализована рупа, ж јд",metallerat hål,镀覆孔
541-03-05,landless hole,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=541-03-05,ثقب بدون قاعدة,"lötaugenloses Loch, n",landless hole,agujero sin nudo,"trou sans pastille, m",Foro passante senza piazzola,ランドレスホール,무안착 구멍,otwór bezkołnierzowy,furo sem pastilha,"рупа без контактне површине, ж јд",,无连接盘孔
541-03-06,through connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=541-03-06,وصلة نافذة,"Durchverbindung, f",through connection,conexión transversal,"connexion transversale, f",Connessione passante,貫通接続,관통 연결,połączenie przelotowe połączenie skrośne,conexão transversal,"веза између две стране штампане плоче, ж јд",genomförbindning,直通连接
541-04-01,surface mounting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=541-04-01,تثبيت سطحى,"Oberflächenmontage, f",surface mounting,montaje en superficie,"montage en surface, m",Montaggio superficiale,表面実装,표면 실장,montaż powierzchniowy,montagem em superfície,"монтирање на површини, с јд",ytanslutning,表面安装
541-04-02,subtractive process,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=541-04-02,عملية الطرح,"Subtraktiv-Verfahren, n",subtractive process,proceso substractivo,"procédé soustractif, m",Procedimento sottrattivo,サブトラクティブ法,제거 처리,proces subtraktywny   metoda subtraktywnatechnologia subtraktywna,processo subtractivo,"суперактивни поступак, м јд",subtraktiv process,减成法
541-04-03,additive process,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=541-04-03,عملية الاضافة,"Additiv-Verfahren, n",additive process,proceso aditivo,"procédé additif, m",Procedimento additivo,アディティブ法,가산 처리,proces addytywny metoda addytywnatechnologia addytywna,processo aditivo,"адитивни поступак, м јд",additiv process,加成法
541-04-04,semi-additive process,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=541-04-04,عملية شبه-اضافة,"Semiadditiv-Verfahren, n",semi-additive process,proceso semiaditivo,"procédé semi-additif, m",Processo semi-additivo,セミアディティブ法,반첨가물 처리,proces semiaddytywnymetoda semiaddytywnatechnologia semiaddytywna,processo semiaditivo,"полуадитивни поступак, м јд",semiadditiv process,半加成法
