term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,sv,zh
141-02-01,phase element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=141-02-01,عنصر طور,"Strang, m",phase elementDEPRECATED: phase,elemento de fase,"élément de phase, mDÉCONSEILLÉ: phase, f",elemento di fase,一相分要素,위상 요소,element fazowy faza (termin niezalecany w tym sensie),elemento de fasefase (desaconselhado),faselement,相元件
141-02-02,polyphase element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=141-02-02,عنصر متعدد الأطوار,"Mehrstrangkombination, f",polyphase elementm-phase element,elemento m-fásicoelemento polifásico,"élément polyphasé, mélément m-phasé, m",elemento polifase,m相分要素,다위상 요소,element wielofazowy element m-fazowy,elemento polifásicoelemento m-fásico,flerfaselement,多相元件m相元件
141-02-03,polyphase circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=141-02-03,دارة متعددة الأطوار,"Mehrleiter-Stromkreis, m",polyphase circuit,circuito polifásico,"circuit polyphasé, m",circuito polifase,多相回路,다위상 회로,obwód wielofazowy,circuito polifásico,flerfaskrets,多相电路
141-02-04,symmetric polyphase element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=141-02-04,عنصر متماثل متعددالأطوار,"symmetrische Mehrstrangkombination, f",symmetric polyphase element,elemento polifásico simétrico,"élément polyphasé symétrique, m",elemento polifase simmetrico,対称多相要素,대칭 다위상 요소,element wielofazowy symetryczny,elemento polifásico simétrico,symmetriskt flerfaselement,对称多相元件
141-02-05,symmetric conditions,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=141-02-05,حالات تماثل,"symmetrische Bedingungen, f, pl",symmetric conditions,funcionamiento simétrico,"marche symétrique, f",condizioni simmetriche,対称条件,대칭 조건,stan symetryczny praca symetryczna,funcionamento simétrico,symmetrisk drift,对称状态
141-02-06,star connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=141-02-06,توصيل نجمي,"Sternschaltung, f",star connection,conexión en estrella,"couplage en étoile, mconnexion en étoile, f",collegamento a stella,スター結線星形結線,성형 접속,połączenie w gwiazdę skojarzenie w gwiazdę,acoplamento em estrelaconexão em estrela,stjärnkoppling,星形联结
141-02-07,Y-connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=141-02-07,توصيل Y,"Y-Schaltung, f",Y-connection,conexión en Y,"couplage en Y, mconnexion en Y, f",collegamento ad Y collegamento a stella,Ｙ－結線,Y 접속,połączenie Y,acoplamento em Yconexão em Y,Y-koppling,Y联结
141-02-08,polygonal connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=141-02-08,توصيل ضلعي,"Ringschaltung, fPolygonschaltung, f",polygonal connection,conexión en polígono,"couplage en polygone, mconnexion en polygone, f",collegamento poligonale,多角形結線,다각형 접속,połączenie w wielokąt,acoplamento em polígonoconexão em polígono,polygonkoppling,多边形连接
141-02-09,delta connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=141-02-09,توصيل دلتا (مثلثي),"Dreieckschaltung, f",delta connectionΔ-connection,conexión en Dconexión en triángulo,"couplage en triangle, mcouplage en Δ, mconnexion en triangle, fconnexion en Δ, f",collegamento a triangolo,Δ－結線デルタ結線,삼각 접속Δ 접속,połączenie Δ połączenie w trójkąt,acoplamento em triânguloacoplamento em Dconexão em triânguloconexão em D,D-kopplingtriangelkoppling,∆联结三角形联结
141-02-10,star point,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=141-02-10,نقطة نجمية، نقطة التعادل (1),"Sternpunkt, m",star pointneutral point (1),punto neutro (1),"point neutre (1), m",centrostella,中性点 (1),"성형점중성점, <1>",punkt gwiazdowy,ponto neutro (1),neutralpunkt,"中性点, <相关条目：141-02-11>"
141-02-11,polyphase neutral point,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=141-02-11,نقطة تعادل متعددة الأطوار,"Neutralpunkt, m",polyphase neutral pointneutral point (2),punto neutro (2),"point neutre (2), m",punto neutro polifase,中性点 (2),"다위성 중성점중성점, <2>",punkt neutralny,ponto neutro (2),neutralpunkt,"多相中性点中性点, <相关条目：141-02-10>"
141-02-12,phase-element voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=141-02-12,جهد عنصر- طور،جهد وجه,"Strangspannung, f",phase-element voltagephase voltage,tensión de fase,"tension de phase, f",tensione di fase,相電圧,위상 요소 전압위상 전압,napięcie fazowe,tensão de fase,fasspänning,相元件电压相电压
141-02-13,phase-element current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=141-02-13,تيار عنصر- طور،تيار وجه,"Strangstrom, m",phase-element currentphase current,corriente de fase,"courant de phase, m",corrente di fase,相電流,위상 요소 전류,prąd fazowy,corrente de fase,fasström,相元件电流相电流
141-02-14,"instantaneous power, <for a polyphase element>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=141-02-14,قدرة لحظية (لعنصر متعدد الأطوار),"Momentanleistung (einer Mehrstrangkombination), f","instantaneous power, <for a polyphase element>",potencia instantánea (para un elemento polifásico),"puissance instantanée, <pour un élément polyphasé> f",potenza istantanea,"瞬時電力, <多相要素の>","순시 전력, <다위상 요소>",moc chwilowa (elementu wielofazowego),potência instantânea (para um elemento polifásico),momentan effekt,"瞬时功率, <多相元件的>"
141-02-15,"active power, <for a polyphase element>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=141-02-15,قدرة فعالة (لعنصر متعدد الأطوار),"Wirkleistung (einer Mehrstrangkombination), f","active power, <for a polyphase element>",potencia activa (para un elemento polifásico),"puissance active, <pour un élément polyphasé> f",potenza attiva,"有効電力, <多相要素の>","유효 전력, <다위상 요소>",moc czynna (elementu wielofazowego),potência activa (para um elemento polifásico),aktiv effekt,"有功功率, <多相元件的>"
141-03-01,polyphase line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=141-03-01,خط متعدد الأطوار,"Mehrstrangleitung, f",polyphase line,línea polifásica,"ligne polyphasée, f",linea polifase,多相線路,다위상 선,linia wielofazowa,linha polifásica,flerfasledning,多相线路
141-03-02,polyphase-line conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=141-03-02,موصل خط متعدد الأطوار/ موصل خط,"Außenleiter (eines Mehrphasensystems), m",polyphase-line conductorline conductorDEPRECATED: phase conductor,conductor de líneaconductor de una línea polifásica,"conducteur de ligne polyphasée, mconducteur de ligne, mDÉCONSEILLÉ: conducteur de phase, m",conduttore di linea polifase,多相線路の導体線路の導体,다위상 선 도체선 도체,przewód liniowyprzewód linii wielofazowej przewód fazowy (termin niezalecany),condutor de linha polifásicacondutor de linha,fasledare,多相线导体线导体相导体
141-03-03,neutral conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=141-03-03,موصل تعادل,"Neutralleiter, m",neutral conductor,conductor neutro,"conducteur de neutre, m",conduttore di neutro,中性点導体,중성 도체,przewód neutralny,condutor de neutro,neutralledare,中性导体
141-03-04,polyphase-line current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=141-03-04,تيار خط متعدد الأطوار،تيار خط,"Außenleiterstrom, m",polyphase-line currentline current,corriente de línea,"courant de ligne polyphasée, mcourant de ligne, m",corrente di linea polifase,多相線路電流線路電流,다위상 선 전류선 전류,prąd przewodu liniowego prąd liniowy,corrente de linha polifásicacorrente de linha,fasledarström,多相线电流线电流
141-03-05,neutral current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=141-03-05,تيار تعادل,"Neutralleiterstrom, m",neutral current,corriente de neutro,"courant de neutre, m",corrente di neutro,中性点電流,중성 전류,prąd przewodu neutralnego,corrente de neutro,neutralledarström,中性导体电流
141-03-06,polyphase line-to-line voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=141-03-06,جهد بين خط متعدد الأطوار وخط /جهد بين خط وخط,"Außenleiterspannung, f",polyphase line-to-line voltageline-to-line voltage,tensión de línea,"tension composée, f",tensione di linea polifase (concatenata),線間電圧,다위상 선 대 선 전압선 대 선 전압,napięcie międzyprzewodowe napięcie skojarzone,tensão composta,huvudspänning,多相线间电压多相线电压线间电压线电压
141-03-07,polygonal voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=141-03-07,جهد ضلعي,"polygonale Spannung, f",polygonal voltage,tensión poligonal,"tension polygonale, f",tensione poligonale,隣接線間電圧,다각형 전압,napięcie cięciwowe,tensão poligonal,polygonspänning,边电压
141-03-08,diametrical voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=141-03-08,جهد قطري ، جهد تقاطعي,"diametrale Spannung, f",diametrical voltage,tensión diametral,"tension diamétrale, f",tensione diametrale,最大線間電圧,직경 전압,napięcie średnicowe,tensão diametral,diagonalspänning,对径电压
141-03-09,polyphase line-to-neutral voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=141-03-09,جهد بين خط  متعدد الأطوار الى نقطة تعادل,"Spannung Außenleiter-Neutralleiter (bei Mehrphasensystemen), f",polyphase line-to-neutral voltage,tensión fase-neutro,"tension simple, ftension étoilée, f",tensione fase-neutro (di fase),中性点に対する線路電圧線路電圧,다위상 선 대 중성 전압,napięcie gwiazdowe,tensão simples,fasspänning,线-中性点电压
141-03-10,"instantaneous power, <for a polyphase line>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=141-03-10,قدرة لحظية (لخط متعدد الأطوار),"Momentanleistung (einer Mehrstrangleitung), f","instantaneous power, <for a polyphase line>",potencia instantánea (para una línea polifásica),"puissance instantanée, <pour une ligne polyphasée> f",potenza istantanea,"瞬時電力, <多相線路の>","순시 전력, <다위상 선>",moc chwilowa (linii wielofazowej),potência instantânea (para uma linha polifásica),momentan effekt,"瞬时功率, <多相线路的>"
141-03-11,"active power, <for a polyphase line>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=141-03-11,قدرة فعالة (لخط متعدد الأطوار),"Wirkleistung (einer Mehrstrangleitung), f","active power, <for a polyphase line>",potencia activa (para una línea polifásica),"puissance active, <pour une ligne polyphasée> f",potenza attiva,"有効電力, <多相線路の>","유효 전력, <다위상 선>",moc czynna (linii wielofazowej),potência activa (para uma linha polifásica),aktiv effekt,"有功功率, <多相线路的>"
