term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,pl,pt,ru,sr,sv,zh
313-01-32,string galvanometer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-01-32,مقياس جلافانو ذو خيط,"Saitengalvanometer, n",string galvanometer,galvanómetro de cuerda,nauhagalvanometri,"galvanomètre à corde, m",galvanometro a corda,弦検流計,단선 검류계현 검류계,дамжуулагч утастай гальванометр,galwanometr strunowy,galvanómetro de torção,струнный гальванометр,"галванометар са нити, м јд",bandgalvanometer,弦线检流计
313-01-33,difference galvanometer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-01-33,مقياس جلفانو (لفرق التيار),"Differenzgalvanometer, n",difference galvanometer,galvanómetro de diferencia,erogalvanometri,"galvanomètre de différence, m",galvanometro differenziale,差動検流計,차동 검류계,ялгаврын гальванометр,galwanometr różnicowy,galvanómetro diferencial,дифференциальный гальванометр,"диференцијални галванометар, м јд",differensgalvanometer,差值检流计
313-01-34,vibration galvanometer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-01-34,مقياس جلفانو اهتزازي,"Vibrationsgalvanometer, n",vibration galvanometer,galvanómetro de resonancia; galvanómetro de vibración,värähtelygalvanometri,"galvanomètre à résonance, mgalvanomètre à vibration, m",galvanometro a vibrazionegalvanometro a risonanza,振動検流計,진동 검류계,чичирхийллийн гальванометр,galwanometr wibracyjny,galvanómetro de ressonânciagalvanómetro de vibração,вибрационный гальванометр,"вибрациони галванометар, м јд",vibrationsgalvanometer,振动检流计
313-01-35,energy meter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-01-35,عداد طاقة,"Elektrizitätszähler, mZähler, m",energy meter,contador de energía,sähköenergiamittari,"compteur d’énergie, m",contatore di energia,エネルギー計,에너지 계기,эрчим хүчний тоолуур,licznik energii,contador de energia,счетчик (измеритель) электрической энергии,"бројило, с јд",elmätare,电能表电度表
313-01-36,RF wattmeter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-01-36,عداد قدرة الترددات اللاسلكيه,"Funkfrequenz-Wirkleistungsmessgerät, n",RF wattmeter,vatímetro de alta frecuencia,radiotaajuustehomittari,"wattmètre RF, mwattmètre haute fréquence, m",wattmetro RF,RF電力計,RF 전력계아르에프 전력계,радио давтамжийн ваттметр,miernik mocy wysokiej częstotliwościmiernik mocy częstotliwości radiowych,wattímetro de altas frequênciaswattímetro RF,радиочастотный (высокочастотный) ваттметр,"RF-ватметар, м јд",hf-effektmeter,射频功率计
313-02-01,continuous line recorder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-02-01,مسجل خط مستمر,"Linienschreiber, m",continuous line recorder,registrador de trazo continuo,viivapiirturi,"enregistreur à tracé continu, m",registratore a traccia continuaregistratore a scrittura continua,連続線記録計,연속선 기록계,үргэлжилсэн шугаман бичигч,rejestrator o zapisie ciągłym,gravador de traço contínuo,регистратор (самописец) с непрерывной линией,"писач са непрекидном линијом, м јд",linjeskrivare,连续线记录仪
313-02-02,dotted line recorder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-02-02,مسجّل نقطي,"Punktschreiber, m",dotted line recorder,registrador por puntos,pistepiirturi,"enregistreur par points, m",registratori per punti,打点記録計,점선 기록계,цэгэн шугаман бичигч,rejestrator o zapisie punktowym,gravador por pontos,регистратор (самописец) с пунктирной линией,"тачкасти писач, м јд",punktskrivare,断续线记录仪
313-02-03,event recorder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-02-03,مسجل أحداث,"Ereignisschreiber, m",event recorder,registrador de incidencias,tapahtumapiirturi,"enregistreur d'événements, m",registratore di eventi,事象記録計,사건기록계,бичигч хэмжих хэрэгсэл,rejestrator zdarzeń,gravador de acontecimentos,регистратор событий,"писач појава, м јд",händelseskrivare,事件记录仪
313-02-04,X-Y recorder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-02-04,مسجل إحداثيات,"X-Y-Schreiber, m",X-Y recorder,registrador X-Y,XY-piirturi,"enregistreur X-Y, m",registratore X-Y,X-Y記録計,엑스-와이 기록계,X-Y бичигч,rejestrator X-Y,gravador X-Y,двухкоординатный самописец,"X-Y писач, м јд",XY-skrivare,X-Y记录仪
313-02-05,X-t recorder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-02-05,مُسجِّل أحداث بدلالة الزمن,"X-t-Schreiber, m",X-t recorder,registrador X-t,X-t-piirturi,"enregistreur X-t, m",registratore X-t,X-t記録計,X-t 기록계엑스티 기록계,X-t бичигч,rejestrator X-t,gravador X-t,самописец x(t),"X-t писач, м јд",Xt-skrivare,X-t记录仪
313-02-06,strip chart recorder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-02-06,مسجّل ذو شريط رسم,"Bandschreiber, m",strip chart recorder,registrador de papel continuo,nauhapiirturi,"enregistreur à bande déroulante, m",registratore a nastro (di carta)registratore a svolgimento continuo,帯チャート記録計,띠도표 기록계스트립 차트 기록계,туузан графикт бичигч,rejestrator taśmowy,gravador de folha deslizante,ленточный самописец,"писач са траком, м јд",remsskrivare,带形纸记录仪
313-02-07,drum recorder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-02-07,مسجّل أسطواني,"Trommelschreiber, m",drum recorder,registrador de tambor,rumpupiirturi,"enregistreur à tambour, m",registratore a tamburo,ドラム記録計,드럼 기록계,хүрдэт бичигч,rejestrator bębnowy,gravador de tambor,барабанный самописец,"писач са ваљком, м јд",trumskrivare,鼓形纸记录仪鼓形记录仪
313-02-08,disc recorder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-02-08,مسجّل قرصي,"Kreisblattschreiber, m",disc recorder,registrador de disco,kiekkopiirturi,"enregistreur à disque, m",registratore a disco,ディスク記録計,원반 기록계,дисктэй бичигч,rejestrator tarczowy,gravador de disco,дисковый самописец,"писач са диском, м јд",skivskrivare,圆盘形记录仪
313-02-09,pen recorder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-02-09,مسجل بقلم,"Tintenschreiber, m",pen recorder,registrador de plumilla,kynäpiirturi,"enregistreur à plume, m",registratore graficoregistratore scrivente,ペン記録計,펜 기록계,үзэгтэй бичигч,rejestrator pisakowy,gravador de caneta,перьевой самописец,"писач са пером, м јд",pennskrivare,笔式记录仪
313-02-10,stylus recorder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-02-10,مسجل بإبرة,"Nadelschreiber, m",stylus recorder,registrador de aguja,neulapiirturi,"enregistreur à style, m",registratore a punta,触針記録計,스타일러스 기록계기록침 기록계,бичигч элементтэй бичигч,rejestrator igłowy,gravador de estilete,штифтовой самописец,"писач са писаљком, м јд",nålskrivare,针式记录仪
313-02-11,spot recorder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-02-11,مسجل بالبقع,"Lichtstrahlschreiber, m",spot recorder,"registrador de ""spot""",valopiirturi,"enregistreur à spot, m",registratore a punto luminoso,光点記録計,광점 기록계,гэрлийн тусгалаар бичигч,rejestrator plamkowy,gravador de feixe luminoso,самописец со световым пятном,"писач са светлосним снопом, м јд",ljusskrivare,光点记录仪
313-02-12,thermal recorder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-02-12,مسجّل حراري,"Thermoschreiber, m",thermal recorder,registrador térmico,lämpöpiirturi,"enregistreur thermique, m",registratore termico,熱ペン記録計,열 기록계,дулааны бичигч,rejestrator o zapisie cieplnym,gravador térmico,тепловой самописец,"термички писач, м јд",värmeskrivare,热式记录仪
313-02-13,(ink) jet recorder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-02-13,مسجّل نفاث (حبري),"Tintenstrahlschreiber, m",(ink) jet recorder,registrador de inyección de tinta,mustesuihkupiirturi,"enregistreur à jet d'encre, m",registratore a getto (di inchiostro),インクジェット記録計,잉크 제트 기록계,бэхээр бичигч,rejestrator o zapisie natryskowym,gravador de jacto de tinta,струйный самописец,"писач са млазом , <мастила> м јд",bläckstråleskrivare,喷墨记录仪
313-02-14,printing recorder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-02-14,مسجل بالطباعة,"Druckerschreiber, mdruckender Schreiber, m",printing recorder,registrador impresor,painantapiirturi,"enregistreur imprimeur, m",registratore stampante,印刷記録計,인쇄 기록계,хэвлэх бичигч,rejestrator drukujący,gravador impressor,печатающий самописец,"писач са штампачем, м јд",tryckare,打印式记录仪
313-02-15,(analogue) magnetic recorder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-02-15,مسجّل مغنطيسي (تماثلي),"analoger Magnetschreiber, mMagnetschreiber, m",(analogue) magnetic recorder,registrador magnético (analógico),magneettinen piirturi,"enregistreur magnétique (analogique), m",registratore magnetico (analogico),アナログ磁気記録計,아날로그 자기 기록계,aналог соронзон бичигч,rejestrator o zapisie magnetycznym analogowyrejestrator o zapisie magnetycznym,gravador magnético (analógico),(аналоговый) магнитный самописец,"аналогни магнетски региструјући инструмент , м јд",magnetisk skrivare,模拟磁记录仪磁记录仪
313-02-16,digital recorder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-02-16,مُسجِّل رقمي,"Digitalschreiber, m",digital recorder,registrador digital,digitaalinen tallennin,"enregistreur numérique, m",registratore digitale,ディジタル記録計,디지털 기록계,тоон системт бичигч,rejestrator cyfrowy,gravador digitalgravador numérico,цифровой самописец,"дигитални региструјући инструмент, м јд",digital skrivare,数字记录仪
313-03-01,(electrical measuring) transducer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-03-01,مُحول الإشارات (للقياس الكهربائي),"elektrischer Messumformer, m",(electrical measuring) transducer,transductor (de medida eléctrica),muunnin,"transducteur (de mesure électrique), m",trasduttore (di misura elettrica),変換器電気計測用変換器,전기 계측용 변환기변환기,цахилгааны хэмжлийн хувиргуур,przetwornik pomiarowy elektrycznyprzetwornik,transdutor (de medição eléctrica),(электроизмерительный) преобразователь,"електрични мерни претварач , м јд",omvandlare,电测量变送器变送器
313-03-02,voltage transducer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-03-02,مُحول إشارة للجهد,"Spannungsmessumformer, m",voltage transducer,transductor de tensión,jännitemuunnin,"transducteur de tension, m",trasduttore di tensione,電圧変換器,전압 변환기,хүчдэлийн хувиргуур,przetwornik napięcia,transdutor de tensão,преобразователь напряжения,"претварач напона, м јд",spänningsomvandlare,电压变送器
313-03-03,current transducer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-03-03,مُحول إشارة للتيار,"Stromstärkemessumformer, m",current transducer,transductor de intensidad,virtamuunnin,"transducteur de courant, m",trasduttore di corrente,電流変換器,전류 변환기,гүйдлийн хувиргуур,przetwornik prądu,transdutor de corrente,преобразователь тока,"претварач струје, м јд",strömomvandlare,电流变送器
313-03-04,active power transducer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-03-04,مُحول إشارة للقدرة الفعالة,"Wirkleistungsmessumformer, mLeistungsmessumformer, m",active power transducerwatt transducer,transductor de potencia activa,pätötehomuunnin,"transducteur de puissance active, m",trasduttore di potenza attiva,有効電力変換器,유효전력 변환기,идэвхтэй чадлын хувиргуурваттын хувиргуур,przetwornik mocy czynnej,transdutor de potência activa,преобразователь активной мощности,"претварач активне снаге, м јд",effektomvandlare,有功功率变送器
313-03-05,reactive power transducer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-03-05,مُحول إشارة للقدرة غير الفعالة,"Blindleistungsmessumformer, m",reactive power transducervar transducer,transductor de potencia reactiva,loistehomuunnin,"transducteur de puissance réactive, m",trasduttore di potenza reattiva,無効電力変換器,무효전력 변환기,хуурмаг чадлын хувиргуурвар хувиргуур,przetwornik mocy biernej,transdutor de potência reactiva,преобразователь реактивной мощности,"претварач реактивне снаге, м јд",varomvandlare,无功功率变送器
313-03-06,frequency transducer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-03-06,مُحول إشارة للتردد,"Frequenzmessumformer, m",frequency transducer,transductor de frecuencia,taajuusmuunnin,"transducteur de fréquence, m",trasduttore di frequenza,周波数変換器,주파수 변환기,давтамжийн хувиргуур,przetwornik częstotliwości,transdutor de frequência,преобразователь частоты,"претварач фреквенције, м јд",frekvensomvandlare,频率变送器
313-03-07,phase angle transducer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-03-07,مُحول إشارة لزاوية الطور,"Phasenwinkelmessumformer, m",phase angle transducer,transductor de ángulo de fase,vaihekulmamuunnin,"transducteur de déphasage, m",trasduttore di angolo di fase,位相角変換器,위상각 변환기,фазын өнцгийн хувиргуур,przetwornik kąta przesunięcia fazowego,transdutor de desfasagem,преобразователь фазового угла,"претварач фазног угла, м јд",fasvinkelomvandlare,相位角变送器
313-03-08,mean-sensing transducer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-03-08,مُحول إشارة لتحسُّس القيمة الوسطى,"Mittelwertmessumformer, m",mean-sensing transducer,transductor de valor medio,keskiarvomuunnin,"transducteur de valeur moyenne, m",trasduttore di valore medio,平均値変換器,평균치 변환기,дундаж утгаар мэдрэх хувиргуур,przetwornik wartości średniej,transdutor de valor médio,преобразователь среднего значения величины,"претварач средње вредности, м јд",medelvärdesgivare,平均值变送器
313-03-09,rms-sensing transducer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=313-03-09,مُحول إشارة لتحسُّس القيمة الفعالة,"Effektivwertmessumformer, m",rms-sensing transducer,transductor de valor eficaz,tehollisarvomuunnin,"transducteur de valeur efficace, m",trasduttore di valore efficace,rms値変換器,실효치 변환기,дундаж квадрат утгын хувиргуур,przetwornik wartości skutecznej,transdutor de valor eficaz,преобразователь среднеквадратичных значений,"претварач ефективне вредности, м јд",effektivvärdesgivare,方均根值变送器
