term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,pl,pt,ru,sr,sv,zh
312-06-02,rated insulation voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-06-02,مقاومة حرجة,"Bemessungsspannung der Isolierung, f",rated insulation voltage,tensión asignada de aislamiento,mitoituseristysjännite,"tension assignée d'isolement, f",tensione nominale di isolamento,定格絶縁電圧,정격 절연전압,тусгаарлагын хэвийн хүчдэл,"napięcie znamionowe izolacji, n",tensão de isolamento estipulada,паспортное напряжение изоляции,"назначени напон изолације, м јд",isolationsmärkspänning,额定绝缘电压
312-06-03,insulation test voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-06-03,جهد عزل مقنن,"Isolations-Prüfspannung, f",insulation test voltage,tensión de ensayo de aislamiento,eristystestijännite,"tension d'essai diélectrique, f",tensione di prova di isolamento,絶縁試験電圧,절연 시험 전압,тусгаарлагын туршилтын хүчдэл,napięcie probiercze izolacji,tensão de ensaio dieléctrico,напряжение для испытания изоляции,"напон испитивања изолације, м јд",isolationsprovspänning,绝缘试验电压
312-06-04,load characteristic,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-06-04,جهد إختبار العزل,"Lastkennlinie, f",load characteristic,característica de carga,kuormituskäyrä,"caractéristique de charge, f",caratteristica di carico,負荷特性,부하 특성,ачааллын тодорхойломж,charakterystyka obciążenia,característica de carga,характеристика нагрузки,"карактеристика оптерећења, ж јд",belastningskarakteristik,负载特性
312-06-05,stabilization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-06-05,خواص الحمل,"Stabilisierung, f",stabilization,estabilización,vakauttaminenvakavointi,"stabilisation, f",stabilizzazione,安定化,안정화,тогтворжилт,stabilizacja,estabilização,стабилизация,"стабилизација, ж јд",stabilisering,稳定
312-06-06,attenuation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-06-06,إستقرار,"Dämpfung, f",attenuation,atenuación,vaimennus,"affaiblissement, m",attenuazione,減衰,감쇠,бууралтын коэффициент,tłumienność,atenuação,ослабление (затухание),"слабљење, с јд",dämpning,衰减
312-06-07,gain of a measuring instrument,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-06-07,توهين,"Verstärkung eines Messgeräts, f",gain of a measuring instrument,ganancia (de un instrumento de medida),vahvistus,"gain d'un appareil de mesure, m",guadagno di uno strumento di misura,測定器の利得,측정기 이득,хэмжих хэрэгслийн өсөлтийн коэффициент,wzmocnienie przyrządu pomiarowego,ganho de um instrumento de medição,усиление измерительного прибора,"појачање мерног инструмента, с јд",förstärkning,测量仪表的增益
312-06-08,asymmetrical input,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-06-08,كسب (لجهاز قياس ),"asymmetrischer Eingang, m",asymmetrical input,entrada asimétrica,epäsymmetrinen tulo,"entrée asymétrique, f",ingresso asimmetrico,非対称入力,비대칭 입력,тэгш хэмгүй оролт,wejście asymetryczne,entrada assimétrica,асимметричный вход,"асиметрични улаз, м јднесиметрични улаз, м јд",osymmetrisk ingång,非对称输入
312-06-09,asymmetrical output,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-06-09,دخل غير متناظر,"asymmetrischer Ausgang, m",asymmetrical output,salida asimétrica,epäsymmetrinen lähtö,"sortie asymétrique, f",uscita asimmetrica,非対称出力,비대칭 출력,тэгш хэмгүй гаралт,wyjście asymetryczne,saída assimétrica,асимметричный выход,"асиметрични излаз, м јднесиметрични излаз, м јд",osymmetrisk utgång,非对称输出
312-06-10,symmetrical input,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-06-10,خرج غير متناظر,"symmetrischer Eingang, m",symmetrical inputbalanced input,entrada simétrica; entrada equilibrada,symmetrinen tulo,"entrée symétrique, fentrée équilibrée, f",ingresso simmetrico,対称入力平衡入力,대칭 입력평형입력,тэгш хэмтэй оролттэнцвэржүүлсэн оролт,wejście symetryczne,entrada simétricaentrada equilibrada,симметричный входсбалансированный (уравновешенный) вход,"симетрични улаз, м јд",balanserad ingångsymmetrisk ingång,对称输入平衡输入
312-06-11,symmetrical output,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-06-11,دخل متناظر,"symmetrischer Ausgang, m",symmetrical outputbalanced output,salida simétrica; salida equilibrada,symmetrinen lähtö,"sortie symétrique, fsortie équilibrée, f",uscita simmetrica,対称出力平衡出力,대칭 출력평형 출력,тэгш хэмтэй гаралттэнцвэржүүлсэн гаралт,wyjście symetryczne,saída simétricasaída equilibrada,симметричный выходсбалансированный (уравновешенный) выход,"симетрични излаз, м јд",balanserad utgångsymmetrisk utgång,对称输出平衡输出
